Name,formula,charge,Curation of Metabolite Formula
10fthf_c,C20H21N7O7,-2,Preserved from Nmb_iTM560
12dgr120_c,C27H52O5,0,Preserved from Nmb_iTM560
12dgr120_p,C27H52O5,0,Preserved from Nmb_iTM560
12dgr140_c,C31H60O5,0,Preserved from Nmb_iTM560
12dgr140_p,C31H60O5,0,Preserved from Nmb_iTM560
12dgr141_c,C31H56O5,0,Preserved from Nmb_iTM560
12dgr141_p,C31H56O5,0,Preserved from Nmb_iTM560
12dgr160_c,C35H68O5,0,Preserved from Nmb_iTM560
12dgr160_p,C35H68O5,0,Preserved from Nmb_iTM560
12dgr161_c,C35H64O5,0,Preserved from Nmb_iTM560
12dgr161_p,C35H64O5,0,Preserved from Nmb_iTM560
12dgr180_c,C39H76O5,0,Preserved from Nmb_iTM560
12dgr180_p,C39H76O5,0,Preserved from Nmb_iTM560
12dgr181_c,C39H72O5,0,Preserved from Nmb_iTM560
12dgr181_p,C39H72O5,0,Preserved from Nmb_iTM560
13dpg_c,C3H4O10P2,-4,Preserved from Nmb_iTM560
15dap_e,C5H16N2,2,Preserved from Nmb_iTM560
15dap_p,C5H16N2,2,Preserved from Nmb_iTM560
1ddecg3p_c,C15H29O7P1,-2,Preserved from Nmb_iTM560
1hdec9eg3p_c,C19H35O7P1,-2,Added to iNgo_558 from BIGG
1hdecg3p_c,C19H37O7P1,-2,Preserved from Nmb_iTM560
1hdect9eg3p_c,C19H35O7P1,-2,Preserved from Nmb_iTM560
1odec11eg3p_c,C21H39O7P,-2,Added to iNgo_558 from BIGG
1odec7eg3p_c,C21H39O7P1,-2,Preserved from Nmb_iTM560
1odecg3p_c,C21H41O7P1,-2,Preserved from Nmb_iTM560
1p3h5c_c,C5H7NO3,0,Preserved from Nmb_iTM560
1p3h5c_e,C5H7NO3,0,Preserved from Nmb_iTM560
1pyr5c_c,C5H6NO2,-1,Preserved from Nmb_iTM560
1tdec7eg3p_c,C17H31O7P1,-2,Preserved from Nmb_iTM560
1tdecg3p_c,C17H33O7P1,-2,Preserved from Nmb_iTM560
23dhdp_c,C7H5NO4,-2,Preserved from Nmb_iTM560
23dhmb_c,C5H9O4,-1,Preserved from Nmb_iTM560
23dhmp_c,C6H11O4,-1,Preserved from Nmb_iTM560
25aics_c,C13H15N4O12P,-4,Preserved from Nmb_iTM560
25drapp_c,C9H14N5O8P,-2,Preserved from Nmb_iTM560
26dap_LL_c,C7H14N2O4,0,Preserved from Nmb_iTM560
26dap_M_c,C7H14N2O4,0,Preserved from Nmb_iTM560
2agpe120_c,C17H36NO7P1,0,Preserved from Nmb_iTM560
2agpe120_p,C17H36NO7P1,0,Preserved from Nmb_iTM560
2agpe140_c,C19H40NO7P1,0,Preserved from Nmb_iTM560
2agpe140_p,C19H40NO7P1,0,Preserved from Nmb_iTM560
2agpe141_c,C19H38NO7P1,0,Preserved from Nmb_iTM560
