,Reactions,Charge,Masses
0,3HAD140,-1.0,{}
1,3OAS161a,2.0,"{'C': -12.0, 'H': -21.0, 'N': -2.0, 'O': -9.0, 'P': -1.0, 'R': -1.0, 'S': -1.0}"
2,ACLS,1.0,{}
3,ADPT,-1.0,{}
4,ADSS,-1.0,{}
5,AGPAT160a,1.0,{}
6,AGPAT161a,-1.0,{}
7,AGPAT181,-1.0,{}
8,AMPTASEAGl,1.0,{}
9,ANPRT,-1.0,{}
10,ARGDC,1.0,{}
11,ARGSL,-1.0,{}
12,ARGSS,-1.0,{}
13,ASNN,1.0,{}
14,ASNNpp,1.0,{}
15,ASNSYN,-3.0,"{'H': 2.0, 'O': 2.0}"
16,ASP1DC,-1.0,{}
17,ASPCT,-1.0,{}
18,ASPK,-1.0,{}
19,ASPO3,-1.0,{}
20,ASPO5,-1.0,{}
21,ASPO6,-1.0,{}
22,ASPT,-1.0,{}
23,ASPTA,-1.0,{}
24,ATPPRT,-1.0,{}
25,BTS4,,{'S': 1.0}
26,CYOX,-4.0,{}
27,CYTCS,2.0,"{'C': 8.0, 'H': 14.0, 'N': 4.0, 'O': 4.0, 'S': 2.0, 'R': 4.0}"
28,DAGK181,1.0,{}
29,DAPDC,-1.0,{}
30,DASYN161a,1.0,{'H': -1.0}
31,DASYN181,1.0,{}
32,DHAPtex,-2.0,{}
33,DHORD2,-1.0,{}
34,DHORTS,-1.0,{}
35,EAR140x,1.0,{}
36,EAR181x,-1.0,{}
37,G3PAT161ab,2.0,{}
38,G3PAT181,2.0,{}
39,GALT1,11.0,{}
40,GLCTR1,-11.0,{}
41,GLUabcpp,-1.0,{}
42,GLUPRT,-1.0,{}
43,GLUR,-1.0,{}
44,GLUt1pp,-1.0,{}
45,GLUt2pp,-1.0,{}
46,GNAT1,5.0,{}
47,GNAT2,-1.0,{}
48,GUAPRT,-1.0,{}
49,DDPGA,-2.0,{}
50,HGFE,-8.0,{}
51,EHGLAT,1.0,{}
52,HPYRRx,1.0,{}
53,HPYRRy,1.0,{}
54,HSTPT,-1.0,{}
55,HXPRT,-1.0,{}
56,IGPDH,1.0,{}
57,KARA1,1.0,{}
58,L_LACD2,-1.0,{}
59,LCADi,1.0,{}
60,LDH_D,-1.0,{}
61,LGTHL,1.0,{}
62,MAc2,6.0,{}
63,MAc3,4.0,{}
64,MAc4,4.0,{}
65,MAc6,4.0,{}
66,Malt1pp,-2.0,{}
67,MI1PP,-2.0,{}
68,MTHF,4.0,{}
69,NAMNPP,-1.0,{}
70,NNDPR,-1.0,{}
71,NO2R,1.0,{}
72,NOR,-2.0,{}
73,NT14,-1.0,{}
74,OAAt1pp,-2.0,{}
75,ORPT,1.0,{}
76,P3H5CD,1.0,{}
77,pgp161abcpp,-1.0,{}
78,pgp181abcpp,-1.0,{}
79,PGPP161a,-1.0,{}
80,PGPP181,-1.0,{}
81,PGSA161a,-1.0,{'H': 1.0}
82,PGSA181,-1.0,{}
83,PHEMEFErel,7.0,{}
84,PLIPA1A161a,1.0,{}
85,PLIPA1G161a,,{'H': -1.0}
86,PMCOAS,-1.0,"{'C': 7.0, 'H': 9.0, 'O': 3.0}"
87,PRASCSi,-1.0,{}
88,PRPPS,1.0,{}
89,PSSA161a,-2.0,{}
90,PSSA181,-2.0,{}
91,SIALT1,-2.0,{}
92,T2MRSI,1.0,{}
93,TFFE,3.0,{}
94,UAMAGS,-1.0,{}
95,UCYR,2.0,{}
96,UPPRT,-1.0,{}
97,XPPT,-1.0,{}
98,XPRT,-1.0,{}
99,ACPPAT161,1.0,{}
100,ACPPAT181,1.0,{}
101,ACPPAT120,1.0,{}
102,ACPPAT141,1.0,{}
103,ACPPAT160,1.0,{}
104,ACPPAT140,1.0,{}
105,ACPPAT180,1.0,{}
106,APG3PAT181,-1.0,{}
107,APG3PAT160,-1.0,{}
108,APG3PAT180,-1.0,{}
109,APG3PAT120,-1.0,{}
110,APG3PAT141,-1.0,{}
111,APG3PAT161,-1.0,{}
112,APG3PAT140,-1.0,{}
113,CYPOX,-2.0,{}
114,FOMETRi,-2.0,{}
115,PTHPS,,"{'C': -9.0, 'H': -11.0, 'N': -5.0, 'O': -3.0}"
116,CPH4S,1.0,"{'C': -7.0, 'H': -8.0, 'N': -5.0, 'O': -3.0}"
117,CDGS,,"{'H': 3.0, 'N': 1.0}"
118,CDGR,-1.0,{'H': -5.0}
119,CCGS,-1.0,"{'N': -1.0, 'O': 2.0}"
120,LDH_D2,-1.0,{}
