,Reactions,Charge,Masses
0,3OAS161a,1.0,"{'C': -12.0, 'H': -21.0, 'N': -2.0, 'O': -9.0, 'P': -1.0, 'R': -1.0, 'S': -1.0}"
1,ACPH,-1.0,"{'H': -2.0, 'O': -1.0, 'R': -1.0}"
2,ACPS1,,"{'H': 1.0, 'O': 1.0, 'R': 1.0}"
3,ADPT,-1.0,{'H': -1.0}
4,AGPAT141b,2.0,{}
5,AGPAT160b,2.0,{}
6,AGPAT160c,2.0,{}
7,AGPAT160e,2.0,"{'C': 2.0, 'H': 4.0}"
8,AMPMS2,2.0,"{'H': 1.0, 'O': -3.0, 'P': -1.0}"
9,ANPRT,-1.0,{'H': -1.0}
10,ASNSYN,-2.0,"{'H': 2.0, 'O': 2.0}"
11,ATPPRT,-1.0,{'H': -1.0}
12,BTS4,-2.0,"{'O': 3.0, 'S': 1.0}"
13,CTPS3,1.0,{'H': 1.0}
14,CYTCS,5.0,"{'C': 8.0, 'H': 14.0, 'N': 4.0, 'O': 4.0, 'S': 2.0, 'R': 4.0}"
15,DASYN141b,,"{'C': -4.0, 'H': -8.0}"
16,DASYN160a,2.0,{}
17,DASYN160e,,"{'C': -4.0, 'H': -12.0}"
18,DHORD2,1.9999999989472883e-07,"{'C': -1.6999999985500835e-06, 'H': -1.900000000887303e-06, 'N': -3.9999999978945766e-07, 'O': -8.999999998593466e-07, 'P': -1e-07}"
19,DHQS,-1.9999999989472883e-07,{'Co': -1e-07}
20,GALT2,4.0,"{'C': 1.0, 'H': -1.0, 'N': -1.0, 'O': 3.0, 'P': 2.0}"
21,GARFT2,-2.0,{'H': -2.0}
22,GLCTR1,-5.0,"{'H': 2.0, 'C': 2.0, 'N': -1.0, 'O': 7.0, 'P': -1.0}"
23,GLUPRT,-1.0,{'H': -1.0}
24,GLYCLTDx,1.0,{'H': 1.0}
25,GLYCLTDy,1.0,{'H': 1.0}
26,GUAPRT,-1.0,{'H': -1.0}
27,H2AKGAL,1.0,{'H': 1.0}
28,HGFE,-8.0,{}
29,HGTA,1.0,{'H': 1.0}
30,HMT,-1.0,{'H': -1.0}
31,HXPRT,-1.0,{'H': -1.0}
32,LPS8tex,5.0,"{'C': -2.0, 'H': -2.0, 'N': 1.0, 'O': -12.0, 'P': 1.0}"
33,MCITS,-3.0,{'H': -3.0}
34,MDDCP6pp,6.0,"{'H': 3.0, 'N': -6.0}"
35,METS,1.0,{'H': 1.0}
36,MLTGY5pp,-6.0,"{'H': -3.0, 'N': 6.0}"
37,MTHF,,"{'H': -2.0, 'O': 1.0}"
38,MTHFR2,-1.0,{'H': -1.0}
39,NADHQNa,2.0000000011677344e-07,"{'C': -1.6999999985500835e-06, 'H': -1.900000000887303e-06, 'N': -4.0000000023354687e-07, 'O': -8.999999998593466e-07, 'P': -1.0000000005838672e-07}"
40,NAMNPP,-1.0,{'H': -1.0}
41,NNDPR,-1.0,{'H': -1.0}
42,ORPT,1.0,{'H': 1.0}
43,P3H5CD,-1.0,{'H': -1.0}
44,PA160aabcpp,2.0,{}
45,PEAT1,5.0,"{'C': 8.0, 'H': 12.0}"
46,PGPP141b,-2.0,{'H': -2.0}
47,PGPP141bpp,-2.0,{'H': -2.0}
48,PGPP160a,-2.0,{}
49,PGPP160app,-2.0,{}
50,PGPP160b,-2.0,{'H': -2.0}
51,PGPP160bpp,-2.0,{'H': -2.0}
52,PGPP160c,-2.0,{'H': -2.0}
53,PGPP160cpp,-2.0,{'H': -2.0}
54,PGPP160e,-2.0,{'H': -2.0}
55,PGPP160epp,-2.0,{'H': -2.0}
56,PGSA141b,1.0,{'H': 4.0}
57,PGSA160a,1.0,{'H': 4.0}
58,PGSA160b,1.0,{'H': 4.0}
59,PGSA160c,1.0,{'H': 4.0}
60,PGSA160e,1.0,{'H': 4.0}
61,PHEMEFErel,4.0,{'H': 3.0}
62,PLIPA1A141b,-1.0,{}
63,PLIPA1A160a,-2.0,{}
64,PLIPA1A160b,-2.0,{}
65,PLIPA1A160c,-2.0,{}
66,PLIPA1A160e,-2.0,"{'C': -2.0, 'H': -4.0}"
67,PLIPA1E141b,-1.0,"{'C': 4.0, 'H': 7.0}"
68,PLIPA1E160a,-1.0,"{'C': 33.0, 'H': 65.0, 'N': 1.0, 'O': 8.0, 'P': 1.0}"
69,PLIPA1E160b,-1.0,"{'C': 35.0, 'H': 69.0, 'N': 1.0, 'O': 8.0, 'P': 1.0}"
70,PLIPA1E160c,-1.0,"{'C': 37.0, 'H': 71.0, 'N': 1.0, 'O': 8.0, 'P': 1.0}"
71,PLIPA1E160e,-1.0,"{'C': 39.0, 'H': 77.0, 'N': 1.0, 'O': 8.0, 'P': 1.0}"
72,PLIPA1E161a,-1.0,{'H': -1.0}
73,PLIPA1G141b,-2.0,"{'C': 4.0, 'H': 5.0}"
74,PLIPA1G160a,-2.0,{'H': -5.0}
75,PLIPA1G160b,-2.0,{'H': -3.0}
76,PLIPA1G160c,-2.0,{'H': -3.0}
77,PLIPA1G160e,-2.0,"{'C': 2.0, 'H': 5.0}"
78,PLIPA1G161a,-1.0,{'H': -1.0}
79,PMCOAS,-1.0,"{'C': 7.0, 'H': 9.0, 'O': 3.0}"
