,RPMI Molarity
original RPMI,157.717
EX_arg_L_e_,157.717
EX_asn_L_e_,59.685
EX_asp_L_e_,115.412
EX_ca2_e_,157.717
EX_chol_e_,157.717
EX_cl_e_,157.717
EX_co2_e_,157.717
EX_cobalt2_e_,157.717
EX_cu2_e_,157.717
EX_cys_L_e_,157.717
EX_fe3_e_,157.717
EX_glc_D_e_,157.717
EX_glu_L_e_,118.371
EX_gly_e_,118.961
EX_gthrd_e_,157.717
EX_h_e_,157.717
EX_h2o_e_,157.717
EX_his_L_e_,157.717
EX_ile_L_e_,157.717
EX_inost_e_,157.717
EX_k_e_,157.717
EX_leu_L_e_,157.717
EX_lys_L_e_,157.717
EX_met_L_e_,157.717
EX_mg2_e_,157.717
EX_mn2_e_,157.717
EX_mobd_e_,157.717
EX_na1_e_,157.717
EX_no3_e_,157.717
EX_o2_e_,157.717
EX_phe_L_e_,157.717
EX_pi_e_,157.717
EX_pnto_R_e_,157.717
EX_pro_L_e_,111.176
EX_ser_L_e_,94.587
EX_so4_e_,157.717
EX_thr_L_e_,157.717
EX_trp_L_e_,157.717
EX_tyr_L_e_,157.717
EX_val_L_e_,157.717
EX_zn2_e_,157.717
EX_apoACP_c_,157.717
EX_trdrd_c_,157.717
