NGO0001	11132	17659	10754	8266	8716	11280
NGO0002	9750	13806	7582	5466	8434	9840
NGO0003	4720	3009	2588	1364	3269	2084
NGO0006	18124	15291	12522	5378	15450	11231
NGO0007	600	725	565	245	273	773
NGO0011	2857	8555	3445	3027	1624	5642
NGO0016	6639	11958	8627	5617	2301	8987
NGO0017	4657	7918	5008	3877	3080	6952
NGO0018	1551	5109	2104	1714	1511	3351
NGO0019	3023	8193	3232	2698	3429	5329
NGO0020	675	1892	654	652	529	1523
NGO0021	65	59	51	35	62	37
NGO0022	64	96	78	53	56	84
NGO0023	57	85	60	50	38	86
NGO0025	370	400	483	258	470	345
NGO0026	3362	6736	2962	2629	2687	5270
NGO0027	2025	2587	1619	1382	1381	2276
NGO0028	615	482	459	372	387	402
NGO0029	3242	5177	2849	1662	2742	4183
NGO0030	1761	1868	1352	1073	1035	1414
NGO0031	500	370	328	317	596	234
NGO0032	3512	3221	3158	2018	2292	2230
NGO0033	422	875	457	314	185	549
NGO0034	14050	20083	12709	8444	6813	19140
NGO0035	983	1411	969	680	928	837
NGO0036	12443	19896	11335	9114	7842	14977
NGO0037	4495	2690	3091	1282	2819	1758
NGO0040	8357	16286	7868	5436	7050	11669
NGO0042	1288	1085	1098	629	850	1014
NGO0043	2629	2037	1853	1263	1701	1437
NGO0044	10219	13965	7609	5886	7291	10183
NGO0045	4545	3216	3135	1921	4208	1287
NGO0047	5291	6807	5340	2900	2529	4647
NGO0048	23007	30377	18661	12647	20030	26204
NGO0050	800	1157	954	589	388	1247
NGO0053	5978	7001	5394	3161	3983	5094
NGO0055	47712	77369	32998	26731	22753	46138
NGO0056	16664	19547	13085	8542	9786	14757
NGO0057	2233	3618	2340	1752	1706	1016
NGO0058	17733	42622	22225	11571	17078	18627
NGO0059	959	1914	867	985	777	676
NGO0060	3362	3032	2815	1847	2563	1319
NGO0062	18416	37894	14057	8949	15919	32294
NGO0063	8775	14791	7556	5685	10154	8776
NGO0065	1714	1542	1526	860	1098	1147
NGO0066	6354	8223	4350	3355	4288	6849
NGO0068	4514	7035	3932	2610	2971	4744
NGO0069	21621	31505	17241	11597	17285	26336
NGO0071	1346	2268	1244	1051	825	1460
NGO0072	5840	10359	5622	4035	4010	6692
NGO0072a	218	191	153	189	135	190
NGO0073	1042	1351	891	604	676	961
NGO0078	8453	11378	7228	4512	6318	8108
NGO0079	128	229	107	325	85	127
NGO0080	270	341	346	158	295	391
NGO0081	1883	2835	1569	1241	919	2195
NGO0082	444	985	506	441	350	1411
NGO0083	937	1609	883	744	647	1563
NGO0084	1544	2479	1479	971	1242	2051
NGO0085	1951	3036	1596	1244	1394	2820
NGO0086	1519	1690	1053	628	1166	1457
NGO0087	2361	2891	1569	1053	1770	2801
NGO0088	2363	2805	2129	1560	1956	2275
NGO0089	2088	2296	1599	902	1242	1981
NGO0090	530	434	498	337	384	370
NGO0091	3331	5307	3049	1963	1783	4342
NGO0092	5324	5187	3349	1948	4483	3806
NGO0093	1233	1707	1004	592	731	1487
NGO0094	98813	124578	65302	39300	68950	96035
NGO0095	15884	16830	10959	5708	12911	14165
NGO0096	13919	16177	11205	7243	8241	14815
NGO0097	18769	19610	15155	7213	15888	15903
NGO0098	58080	91233	56662	29482	33110	77191
NGO0099	5379	7877	5808	3275	4381	3942
NGO0100	2928	3728	2931	1202	1327	2565
NGO0101	9636	21886	9939	5562	5214	15919
NGO0102	6079	9519	6164	4016	4233	5762
NGO0103	2710	4594	2218	2236	1921	3140
NGO0104	1728	2218	1817	1387	1845	1545
NGO0105	848	2527	1025	1043	404	1980
NGO0106	13232	16530	10471	5733	10512	14136
NGO0107	4091	6411	3620	2505	2783	4613
NGO0110	404	637	453	279	247	216
NGO0112	349	745	400	271	387	373
NGO0113	5685	10557	5764	4030	3549	7449
NGO0114	3216	2897	3761	4133	3984	1995
NGO0116	25490	48946	23546	13471	22614	49438
NGO0117	3476	5981	3391	2474	2067	4244
NGO0118	3105	3630	2517	1988	2676	2588
NGO0119	612	492	736	437	373	391
NGO0121	458	991	767	302	429	702
NGO0123	1261	1935	1265	849	768	1317
NGO0124	482	1179	700	501	207	830
NGO0125	110	130	95	78	202	107
NGO0125a	310	373	360	204	250	283
NGO0127	1473	3677	1443	1414	1466	1750
NGO0129	2677	4074	2212	2234	1996	2624
NGO0130	1660	2171	1372	1149	1251	1427
NGO0131	1092	2014	1226	990	403	1825
NGO0132	1225	1713	1129	876	538	1409
NGO0135	1086	1100	871	551	538	1269
NGO0136	3802	6082	3375	2602	1777	5733
NGO0138	7614	9207	7150	3687	4037	7866
NGO0139	1889	2493	1657	1016	1194	2063
NGO0140	520	351	489	249	409	269
NGO0142	33241	69836	28907	16003	27828	58585
NGO0143	3037	5790	2681	2135	2244	3657
NGO0144	3047	3313	2678	1374	1621	2716
NGO0145	1685	1819	1601	900	1010	1552
NGO0146	5896	10173	5736	3546	3588	8368
NGO0149	5764	5709	4175	2704	3052	4780
NGO0151	2817	5201	2897	2599	1209	4600
NGO0152	195	340	222	272	191	285
NGO0153	652	1075	678	639	411	747
NGO0154	831	1602	809	516	498	1166
NGO0156	5605	11772	5067	3897	3625	6326
NGO0158	12912	14118	8438	4897	9533	8735
NGO0161	133	281	193	56	92	145
NGO0165	69	266	133	81	14	242
NGO0166	71	175	97	64	75	116
NGO0168	3226	7240	3304	2593	1657	5437
NGO0169	297	351	332	261	274	332
NGO0170	2524	5149	2896	1693	1236	5273
NGO0171	19800	13795	16581	8106	13862	12354
NGO0172	12989	12039	11293	7647	12567	9876
NGO0173	17799	15605	15767	9752	14419	11409
NGO0174	6149	7600	6496	6819	1285	7631
NGO0176	2135	2557	2087	1881	1020	2215
NGO0177	15591	21254	16205	11979	10669	17039
NGO0178	2078	1847	1531	911	1058	2082
NGO0179	75	19	41	20	54	36
NGO0180	706	815	605	440	324	870
NGO0181	1459	833	1291	666	659	919
NGO0182	2357	2501	1795	1390	1573	2081
NGO0183	907	1196	964	803	358	981
NGO0184	1939	2608	1649	1091	1102	2426
NGO0185	2636	3735	2329	1750	1224	3411
NGO0186	65117	158331	64145	49483	57014	137869
NGO0187	804	1282	1046	547	802	870
NGO0188	9884	23415	10083	5968	3800	19639
NGO0189	20894	29876	16574	11395	15489	21383
NGO0190	8737	12340	6671	4690	6382	9697
NGO0191	21398	34600	23976	10424	7078	23246
NGO0195	4339	3737	3640	1779	3078	3197
NGO0196	2478	3015	2275	1533	1264	2778
NGO0197	1268	2448	1240	1041	679	2496
NGO0198	14870	41982	11321	6126	11216	37689
NGO0199	9030	6858	6647	4055	5444	5918
NGO0200	74864	124676	54526	42527	64297	93500
NGO0201	486	1061	525	352	318	698
NGO0202	1599	4864	1624	1356	1593	2331
NGO0203	641	873	538	388	327	795
NGO0204	843	1611	813	676	954	1116
NGO0205	1600	2745	1462	921	829	2133
NGO0206	22951	30452	17332	8950	12666	26580
NGO0207	5084	6659	6872	1822	5734	5261
NGO0208	11426	25272	9630	7237	11810	16961
NGO0209	4238	5199	3223	2391	2365	4355
NGO0210	850	1072	586	432	549	900
NGO0211	1954	2404	1214	1142	1568	1958
NGO0212	3794	5029	2573	1986	2685	4340
NGO0213	2223	3156	1677	1187	1637	2398
NGO0214	26266	32955	16224	10938	25284	25082
