,ids,growth,status
0,{'NGO1470'},1.3244564688055733,optimal
1,{'NGO0994'},,infeasible
2,{'NGO0072'},,infeasible
3,{'NGO1667'},,infeasible
4,{'NGO1342'},,infeasible
5,{'NGO1769'},,infeasible
6,{'NGO0373'},1.63811646548202,optimal
7,{'NGO1602'},,infeasible
8,{'NGO0313'},1.63811646548202,optimal
9,{'NGO1541'},,infeasible
10,{'NGO1415'},,infeasible
11,{'NGO0970'},,infeasible
12,{'NGO1565'},,infeasible
13,{'NGO0230'},,infeasible
14,{'NGO0338'},,infeasible
15,{'NGO1986'},,infeasible
16,{'NGO0564'},1.0833331571042177,optimal
17,{'NGO0918'},1.638116465482014,optimal
18,{'NGO0971'},,infeasible
19,{'NGO1918'},,infeasible
20,{'NGO0266'},,infeasible
21,{'NGO0445'},,infeasible
22,{'NGO2124'},,infeasible
23,{'NGO1746'},,infeasible
24,{'NGO0956'},,infeasible
25,{'NGO0605'},,infeasible
26,{'NGO1406'},1.632907728614799,optimal
27,{'NGO0704'},,infeasible
28,{'NGO0093'},,infeasible
29,{'NGO2072'},,infeasible
30,{'NGO1531'},,infeasible
31,{'NGO0715'},,infeasible
32,{'NGO1542'},1.63811646548202,optimal
33,{'NGO1939'},,infeasible
34,{'NGO1737'},,infeasible
35,{'NGO2053'},,infeasible
36,{'NGO2147'},,infeasible
37,{'NGO0917'},,infeasible
38,{'NGO0353'},,infeasible
39,{'NGO1745'},,infeasible
40,{'NGO1183'},,infeasible
41,{'NGO0792'},,infeasible
42,{'NGO1341'},,infeasible
43,{'NGO2021'},,infeasible
44,{'NGO0154'},,infeasible
45,{'NGO0923'},,infeasible
46,{'NGO0437'},,infeasible
47,{'Sgene'},,infeasible
48,{'NGO2085'},,infeasible
49,{'NGO1416'},,infeasible
50,{'NGO0611'},1.63811646548202,optimal
51,{'NGO1368'},1.63811646548202,optimal
52,{'NGO04615'},,infeasible
53,{'NGO1418'},,infeasible
54,{'NGO1915'},,infeasible
55,{'NGO0082'},1.63811646548202,optimal
56,{'NGO0170'},,infeasible
57,{'NGO0375'},,infeasible
58,{'NGO0758'},1.6271557035000723,optimal
59,{'NGO0947'},,infeasible
60,{'NGO2149'},,infeasible
61,{'NGO1290'},1.63811646548202,optimal
62,{'NGO1373'},,infeasible
63,{'NGO0619'},,infeasible
64,{'NGO0921'},,infeasible
65,{'NGO0586'},,infeasible
66,{'NGO0916'},,infeasible
67,{'NGO1413'},,infeasible
68,{'NGO1742'},,infeasible
69,{'NGO1307'},,infeasible
70,{'NGO0580'},,infeasible
71,{'NGO2110'},,infeasible
72,{'NGO1786'},,infeasible
73,{'NGO1609'},,infeasible
74,{'NGO1080'},1.63811646548202,optimal
75,{'NGO1973'},1.63811646548202,optimal
76,{'NGO0925'},1.6329077286147995,optimal
77,{'NGO1334'},,infeasible
78,{'NGO2029'},,infeasible
79,{'NGO1547'},,infeasible
80,{'NGO0312'},,infeasible
81,{'NGO0099'},,infeasible
82,{'NGO0036'},,infeasible
83,{'NGO0040'},,infeasible
84,{'NGO0857'},,infeasible
85,{'NGO0215'},1.63811646548202,optimal
86,{'NGO2156'},,infeasible
87,{'NGO1763'},,infeasible
88,{'NGO0717'},,infeasible
89,{'NGO0562'},1.632907728614799,optimal
90,{'NGO0755'},,infeasible
91,{'NGO0224'},,infeasible
92,{'NGO0654'},,infeasible
93,{'NGO1682'},,infeasible
94,{'NGO1414'},,infeasible
95,{'NGO08225'},,infeasible
96,{'NGO1750'},,infeasible
97,{'NGO0875'},,infeasible
98,{'NGO1283'},,infeasible
99,{'NGO2166'},,infeasible
100,{'NGO0589'},1.63811646548202,optimal
101,{'NGO1748'},,infeasible
102,{'NGO1235'},1.63811646548202,optimal
103,{'NGO1535'},,infeasible
104,{'NGO1905'},1.637953859031156,optimal
105,{'NGO0269'},1.6381164654820142,optimal
106,{'NGO0105'},,infeasible
107,{'NGO0327'},1.63811646548202,optimal
108,{'NGO2000'},,infeasible
109,{'NGO2045'},,infeasible
110,{'NGO1452'},,infeasible
111,{'NGO0360'},,infeasible
112,{'NGO1695'},,infeasible
113,{'NGO1472'},1.3244564688055733,optimal
114,{'NGO0748'},,infeasible
115,{'NGO2148'},,infeasible
116,{'NGO1152'},1.63811646548202,optimal
117,{'NGO0806'},,infeasible
118,{'NGO0400'},,infeasible
119,{'NGO0345'},,infeasible
120,{'NGO1668'},1.63811646548202,optimal
121,{'NGO1762'},,infeasible
122,{'NGO1028'},,infeasible
123,{'NGO0614'},,infeasible
124,{'NGO1574'},,infeasible
125,{'NGO0716'},,infeasible
126,{'NGO0900'},,infeasible
127,{'NGO1448'},,infeasible
128,{'NGO0913'},,infeasible
129,{'NGO2069'},1.63811646548202,optimal
130,{'NGO1539'},,infeasible
131,{'NGO2114'},,infeasible
132,{'NGO1957'},1.63811646548202,optimal
133,{'NGO1353'},,infeasible
134,{'NGO0446'},,infeasible
135,{'NGO1212'},,infeasible
136,{'NGO1675'},,infeasible
137,{'NGO0216'},,infeasible
138,{'NGO0245'},,infeasible
139,{'NGO1608'},,infeasible
140,{'NGO0333'},,infeasible
141,{'NGO0106'},,infeasible
142,{'Blank'},1.63811646548202,optimal
143,{'NGO1361'},1.63811646548202,optimal
144,{'NGO0444'},1.63811646548202,optimal
145,{'NGO2078'},,infeasible
146,{'NGO1258'},,infeasible
147,{'NGO0220'},,infeasible
148,{'NGO2065'},,infeasible
149,{'NGO0263'},,infeasible
150,{'NGO0092'},,infeasible
151,{'NGO0746'},1.63811646548202,optimal
152,{'NGO1537'},,infeasible
153,{'NGO1275'},1.3260092147091063,optimal
154,{'NGO1198'},1.638116465482013,optimal
155,{'NGO0239'},,infeasible
156,{'NGO0203'},1.63811646548202,optimal
157,{'NGO1914'},1.63811646548202,optimal
158,{'NGO0223'},1.63811646548202,optimal
159,{'NGO1751'},,infeasible
160,{'NGO2171'},,infeasible
161,{'NGO1581'},,infeasible
162,{'NGO0658'},,infeasible
163,{'NGO1276'},1.3260092147091063,optimal
164,{'NGO0972'},,infeasible
165,{'NGO0062'},,infeasible
166,{'NGO0385'},,infeasible
167,{'NGO1310'},,infeasible
168,{'NGO1134'},1.63811646548202,optimal
169,{'NGO1741'},,infeasible
170,{'NGO2163'},,infeasible
171,{'NGO0217'},,infeasible
172,{'NGO1803'},,infeasible
173,{'NGO0991'},,infeasible
174,{'NGO0440'},,infeasible
175,{'NGO0044'},,infeasible
176,{'NGO0436'},,infeasible
177,{'NGO0214'},1.1442786205990125,optimal
178,{'NGO2165'},,infeasible
179,{'NGO1403'},,infeasible
180,{'NGO1773'},1.63811646548202,optimal
181,{'NGO1926'},,infeasible
182,{'NGO0912'},,infeasible
183,{'NGO0620'},,infeasible
184,{'NGO0441'},,infeasible
185,{'NGO2140'},1.63811646548202,optimal
186,{'NGO1997'},,infeasible
187,{'NGO0142'},,infeasible
188,{'NGO1466'},,infeasible
189,{'NGO1331'},,infeasible
190,{'NGO1694'},,infeasible
191,{'NGO1747'},,infeasible
192,{'NGO1404'},1.632907728614799,optimal
193,{'NGO1567'},,infeasible
194,{'NGO0146'},,infeasible
195,{'NGO0977'},1.63811646548202,optimal
196,{'NGO0594'},,infeasible
197,{'NGO0101'},1.63811646548202,optimal
198,{'NGO1188'},1.63811646548202,optimal
199,{'NGO1797'},,infeasible
200,{'NGO2037'},1.63811646548202,optimal
201,{'NGO1358'},,infeasible
202,{'NGO1041'},1.63811646548202,optimal
203,{'NGO1533'},,infeasible
204,{'NGO2164'},,infeasible
205,{'NGO1749'},,infeasible
206,{'NGO0617'},,infeasible
207,{'NGO2151'},,infeasible
208,{'NGO1500'},,infeasible
209,{'NGO0565'},1.0833331571042177,optimal
210,{'NGO0533'},,infeasible
