reaction	linear_coefficient
12DGR120tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR140tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR141tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR160tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR161tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR180tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
12DGR181tipp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
2AGPA120tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA140tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA141tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA160tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGpa161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA180tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPA181tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE120tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE140tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE141tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE160tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGpe161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPE180tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2agpe181tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG120tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG140tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG141tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG160tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGpg161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG161tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2AGPG180tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2agpg181tipp	[0.00830370577334962, 0.02705550994700421, 0.011365747556675581, 0.03707846662364928, 0.006336814912170761, 0.023941259389245458]
2MAHMP	[0.0344362174040762, 0.06298508407630236, 0.05802828061950131, 0.05166635002407995, 0.028327966760433868, 0.04860872980822421]
34dhpactex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
3AMPtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
3CMPtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
3HAD100	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD120	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD121	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD140	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD141	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD160	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD161	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD161x	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD180	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD181a	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD40	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD60	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3HAD80	[0.03832357198926188, 0.05877265990854984, 0.0537164725526153, 0.2982258252809436, 0.09974790897992909, 0.025225930574377695]
3OAR100	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR120	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR121	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR140	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR141	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR160	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR161	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR161x	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR180	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR181x	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR40	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR60	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAR80	[0.01111208989296211, 0.02705550994700421, 0.02210872697756107, 0.03968227562111614, 0.010731625195999392, 0.023941259389245458]
3OAS100	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS120	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS121	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS140	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS141	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS160	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS161	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS161a	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS180	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS181a	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS60	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3OAS80	[0.010224426247526012, 0.02705550994700421, 0.015056362935959371, 0.009519085795134816, 0.009278088720803152, 0.023941259389245458]
3PEPTtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
3UMPtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
4HOXPACDtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
4HTHRS	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
4PEPTtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
5DGLCNtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
5DOAN	[0.04482800387392296, 0.0407798616268003, 0.049587368217377005, 0.050817747388597845, 0.08952185236619556, 0.03694634110846454]
A5PISO	[0.11592527050967133, 0.048415275148258774, 0.1488685759947439, 0.06316289525239721, 0.09303599055034645, 0.0450693979142673]
ABUTtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACACtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACCOAC	[0.022176286590291545, 0.02705550994700421, 0.026079488078704683, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ACGALtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACGAM1Ptex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACGAMT	[0.04200431520869951, 0.06321875678126015, 0.1488685759947439, 0.28450674934064935, 0.032628724684102745, 0.04308940281785288]
ACGAtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACGK	[0.17871982115146995, 0.039920956549117634, 0.20417908568889467, 0.2982258252809436, 0.09861928065801202, 0.026255818133684834]
ACGS	[0.1541177640818401, 0.34229975224300524, 0.2067978391758452, 0.2982258252809436, 0.12175616125731216, 0.3562912645158765]
ACHBS	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ACKr	[0.005166273923101336, 0.02705550994700421, 0.020549655134167257, 0.03968227562111614, 0.003207436383218858, 0.023941259389245458]
ACLS	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ACMANAtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACMUMtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACOATA	[0.003077203447204306, 0.0034111752690916468, 0.002133118984077851, 0.005356891916341575, 0.002985130804659433, 0.0023870860373483276]
ACODA	[0.11153286591932372, 0.34229975224300524, 0.18258350460813508, 0.2982258252809436, 0.08457127813596836, 0.3562912645158765]
ACONIs	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
ACONTa	[0.0035592966339497737, 0.003120663257522507, 0.004751872471028395, 0.003215180502981946, 0.0021985110651414684, 0.004105982879290518]
ACONTb	[0.0035592966339497737, 0.003120663257522507, 0.004751872471028395, 0.003215180502981946, 0.0021985110651414684, 0.004105982879290518]
ACOTA	[0.04482800387392296, 0.030971923497085663, 0.06381389878834554, 0.0626577746360388, 0.028900831135952387, 0.023941259389245458]
ACPH	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
ACPS1	[0.04476678569147909, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.032628724684102745, 0.3562912645158765]
ACS	[0.19320557357225046, 0.34229975224300524, 0.2364445646978807, 0.2982258252809436, 0.139985218699185, 0.3562912645158765]
ACSERtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ACt2rpp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
ACtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ADCL	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADCS	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADEt2rpp	[0.16785359376768322, 0.05432656303583953, 0.1488685759947439, 0.05334335047038985, 0.017356935556755094, 0.3562912645158765]
ADEtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
ADK1	[0.02597280368121131, 0.02705550994700421, 0.03674938600693108, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADK3	[0.02597280368121131, 0.02705550994700421, 0.03674938600693108, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADK4	[0.02597280368121131, 0.02705550994700421, 0.03674938600693108, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADPT	[0.15975748913948154, 0.34229975224300524, 0.18258350460813508, 0.2982258252809436, 0.12668108484385943, 0.3562912645158765]
ADSL1r	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADSL2r	[0.022176286590291545, 0.02705550994700421, 0.03294757294047079, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
ADSS	[0.016269721763858075, 0.02705550994700421, 0.026079488078704683, 0.03968227562111614, 0.01219371188575561, 0.023941259389245458]
AGM3PA	[0.19320557357225046, 0.34229975224300524, 0.22760170408613142, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AGM3PApp	[0.04248640839544497, 0.34229975224300524, 0.1488685759947439, 0.28450674934064935, 0.032628724684102745, 0.3562912645158765]
AGM3PH	[0.19320557357225046, 0.34229975224300524, 0.2364445646978807, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AGM3Pt2pp	[0.17871982115146995, 0.34229975224300524, 0.19065900954696396, 0.28450674934064935, 0.12907514492065322, 0.3562912645158765]
AGM4PA	[0.19320557357225046, 0.34229975224300524, 0.22760170408613142, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AGM4PApp	[0.04248640839544497, 0.34229975224300524, 0.1488685759947439, 0.28450674934064935, 0.032628724684102745, 0.3562912645158765]
AGM4PCP	[0.18362492801978494, 0.34229975224300524, 0.22755298309102534, 0.2982258252809436, 0.08457127813596836, 0.3562912645158765]
AGM4PCPpp	[0.04482800387392296, 0.06346506044324268, 0.06693204247513318, 0.06512276324386782, 0.0331075366994615, 0.05263399456467111]
AGM4PH	[0.19320557357225046, 0.34229975224300524, 0.2364445646978807, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AGM4Pt2pp	[0.17871982115146995, 0.34229975224300524, 0.19065900954696396, 0.28450674934064935, 0.12907514492065322, 0.3562912645158765]
AGMH	[0.19320557357225046, 0.34229975224300524, 0.2364445646978807, 0.2982258252809436, 0.1588469920184962, 0.3562912645158765]
AGMHE	[0.0306024287285289, 0.04876894194495164, 0.05093937583157007, 0.28450674934064935, 0.03220121395610385, 0.03587293717341203]
AGMT	[0.022176286590291545, 0.032822358701210835, 0.03511723267087819, 0.03968227562111614, 0.017356935556755094, 0.023941259389245458]
AGMt2pp	[0.17871982115146995, 0.34229975224300524, 0.19065900954696396, 0.28450674934064935, 0.12907514492065322, 0.3562912645158765]
AGMtex	[0.017983830872286406, 0.00529318786577868, 0.026079488078704683, 0.011337520014025066, 0.015058033763348199, 0.004490377531707971]
AGPAT120	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT140	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT141	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
AGPAT160	[0.12314901603804786, 0.34229975224300524, 0.1488685759947439, 0.2982258252809436, 0.08009096570653995, 0.3562912645158765]
