reaction	linear_coefficient
12DGR120tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR140tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR141tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR160tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR161tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR180tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
12DGR181tipp	[0.04034135276546161, 0.029487007747199756, 0.033375730906059754, 0.0502107706745973, 0.03299327846938251]
2AGPA120tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA140tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA141tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA160tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGpa161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA180tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPA181tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE120tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE140tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE141tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE160tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGpe161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPE180tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2agpe181tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG120tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG140tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG141tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG160tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGpg161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG161tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2AGPG180tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2agpg181tipp	[0.028992845024147576, 0.02117470428781537, 0.021133531485723573, 0.03647384245839658, 0.022199100305048656]
2MAHMP	[0.028992845024147576, 0.02117470428781537, 0.02410592418558468, 0.03647384245839658, 0.022377632410701204]
34dhpactex	[0.009041744720672018, 0.004494138911532922, 0.006416690089814083, 0.008579884140329489, 0.002900492633519549]
3AMPtex	[0.009041744720672018, 0.004494138911532922, 0.006416690089814083, 0.008579884140329489, 0.002900492633519549]
3CMPtex	[0.009041744720672018, 0.004494138911532922, 0.006416690089814083, 0.008579884140329489, 0.002900492633519549]
3HAD100	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD120	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD121	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD140	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD141	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD160	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
3HAD161	[0.20455121838194804, 0.25366879118155194, 0.1756530877840215, 0.3233900551852737, 0.1924850433994562]
