	minimum	maximum
3HAD100	0.24135254016625393	0.6033813504156357
3HAD120	0.15704920121906074	0.39262300304765235
3HAD121	0.06727682250119196	0.16819205625298017
3HAD140	0.11834308442464464	0.29585771106161196
3HAD141	0.06727682250119196	0.16819205625298017
3HAD160	0.09454230409137578	0.2363557602284398
3HAD161	0.05220947585933357	0.13052368964833413
3HAD161x	0.020406399238106644	0.0510159980952667
3HAD180	0.0027354883431502082	0.0068387208578755306
3HAD181a	0.020406399238106644	0.0510159980952667
3HAD40	0.24135254016625393	0.6033813504156357
3HAD60	0.24135254016625393	0.6033813504156357
3HAD80	0.24135254016625393	0.6033813504156357
3OAR100	0.24135254016625393	0.6033813504156357
3OAR120	0.17407571766506197	0.4351892941626555
3OAR121	0.06727682250119196	0.16819205625298017
3OAR140	0.13536960087064587	0.3384240021766151
3OAR141	0.06727682250119196	0.16819205625298017
3OAR160	0.09454230409137578	0.2363557602284398
3OAR161	0.05220947585933357	0.13052368964833413
3OAR161x	0.020406399238106644	0.0510159980952667
3OAR180	0.0027354883431502082	0.0068387208578755306
3OAR181x	0.020406399238106644	0.0510159980952667
3OAR40	0.24135254016625396	0.6033813504156357
3OAR60	0.24135254016625393	0.6033813504156357
3OAR80	0.24135254016625393	0.6033813504156357
3OAS100	0.24135254016625393	0.6033813504156357
3OAS120	0.17407571766506197	0.4351892941626555
3OAS121	0.06727682250119196	0.16819205625298017
3OAS140	0.13536960087064587	0.3384240021766151
3OAS141	0.06727682250119196	0.16819205625298017
3OAS160	0.09454230409137578	0.2363557602284398
3OAS161	0.05220947585933357	0.13052368964833413
3OAS161a	0.020406399238106644	0.0510159980952667
3OAS180	0.0027354883431502082	0.0068387208578755306
3OAS181a	0.020406399238106644	0.0510159980952667
3OAS60	0.24135254016625393	0.6033813504156357
3OAS80	0.24135254016625393	0.6033813504156357
A5PISO	0.017026516446001227	0.04256629111500314
ACCOAC	1.5997091909731804	3.9992729774329567
ACKr	-29.59723394565584	10.024781269550331
ACLS	0.0	0.0009435550841171296
ACOATA	0.0	0.603381350415635
ACONTa	0.0	12.30224095676067
ACONTb	0.0	12.30224095676067
ACt2rpp	-29.614260462101843	10.0
ACtex	-29.614260462101843	10.0
ADCL	0.00043835996616298743	0.0010958999154074681
ADCS	0.00043835996616298743	0.0010958999154074675
ADEt2rpp	0.014851843525347849	0.03712960881334389
ADEtex	0.014851843525347849	0.03712960881334389
ADK1	0.36946997849170665	1.1382784629310587
ADK3	-0.18652964189531943	-0.07461185675812776
ADPT	0.01514408350280294	0.037860208756948864
ADSL2r	0.0005844799548839823	0.0014611998872099575
AGMHE	0.017026516446001227	0.04256629111500314
AGPAT120	0.002326541951206822	0.005816354878017065
AGPAT140	0.0016971905475811036	0.004242976368952766
AGPAT141	0.007533673320929199	0.01883418330232303
AGPAT160	0.04590340787411278	0.11475851968528214
AGPAT161a	0.026104737929666784	0.06526184482416707
AGPAT180	0.0013677441715751041	0.0034193604289377653
AGPAT181	0.010203199619053322	0.02550799904763335
AHCYSNS	0.00029223997744199113	0.000730599943604979
AICART	0.0005844799548839823	0.0014611998872099575
AIRC2	0.0005844799548839823	0.0014611998872099575
AIRC3	-0.001461199887209956	-0.0005844799548839824
AKGDH	0.24442695443113607	12.546667911191786
ALAALAr	0.027304125246654192	0.06826031311663543
ALADt2pp	0.054608250493308384	0.13652062623327116
ALAt1pp	0.5520167088432185	1.380985327192166
ALAtex	0.5520167088432185	1.380985327192166
APRAUR	0.00029223997744199097	0.000730599943604979
ARGt1pp	0.21375702751548276	0.5343925687887077
ARGtex	0.21375702751548276	0.5343925687887077
ASAD	-0.0682603131166355	-0.027304125246654192
ASNt1pp	0.1648665682706235	0.4121664206765592
ASNtex	0.1648665682706678	0.4121664206766127
ASP1DC	0.0003774220336470284	0.0009435550841171296
ASPK	0.027304125246654192	0.06826031311663558
ASPO3	0.001492651723347116	0.003731629308368035
ASPTA	-0.6125285859650503	-0.24501143438602002
ATPM	2.99	2.99
ATPS4rpp	5.421486027454029	64.37753320520808
CA2tex	0.003103903078795156	0.0077597576970447335
CAt1pp	-0.007759757696988299	-0.0031039030787953182
CDPMEK	0.0015653840944146022	0.003913460236036524
CHORS	0.0005844799548839828	0.001461199887209957
CHRPL	0.00014611998872099557	0.0003652999718024895
CLt4	0.0031039030787953182	0.007759757696988307
CLtex	0.0031039030787953182	0.007759757696988307
CO2tex	-34.13363290676318	-12.03981674098975
CO2tpp	-34.13363290676319	-12.039816740989716
COBALT2t1pp	0.002069268719196879	0.005173171797992205
COBALT2tex	0.0020692687191967707	0.005173171797991927
CS	0.0	12.302240956760638
CTPS2	0.08734221724666943	0.2183555431166741
CU2tex	0.002069268719196879	0.005173171797992205
CU2tpp	0.002069268719196879	0.005173171797992205
CYOX	5.260780820016951	19.99978082001692
