,ids,growth,status
0,{'NGO2045'},,infeasible
1,{'NGO0534'},,infeasible
2,{'NGO1575'},,infeasible
3,{'NGO0915'},,infeasible
4,{'NGO1371'},,infeasible
5,{'NGO1236'},1.0176830420408691,optimal
6,{'NGO0394'},,infeasible
7,{'NGO1804'},,infeasible
8,{'NGO1807'},1.0176868011980127,optimal
9,{'NGO1532'},,infeasible
10,{'NGO1798'},,infeasible
11,{'NGO1345'},1.0176868011980127,optimal
12,{'NGO0107'},1.0176868011980127,optimal
13,{'NGO1666'},,infeasible
14,{'NGO1206'},,infeasible
15,{'NGO0242'},,infeasible
16,{'NGO1417'},,infeasible
17,{'NGO0615'},,infeasible
18,{'NGO0045'},,infeasible
19,{'NGO1980'},,infeasible
20,{'NGO0017'},,infeasible
21,{'NGO1449'},,infeasible
22,{'NGO2143'},1.0176868011980127,optimal
23,{'NGO0920'},,infeasible
24,{'NGO2036'},1.0176868011980127,optimal
25,{'NGO0003'},1.0035703412356143,optimal
26,{'NGO1738'},,infeasible
27,{'NGO1224'},,infeasible
28,{'NGO1806'},,infeasible
29,{'NGO2079'},1.0176868011980127,optimal
30,{'NGO2112'},,infeasible
31,{'NGO1424'},,infeasible
32,{'NGO1799'},,infeasible
33,{'NGO1896'},,infeasible
34,{'NGO0922'},,infeasible
35,{'NGO1354'},,infeasible
36,{'NGO1743'},,infeasible
37,{'NGO1735'},,infeasible
38,{'NGO2056'},,infeasible
39,{'NGO2159'},,infeasible
40,{'NGO0793'},,infeasible
41,{'NGO0372'},1.0176868011980127,optimal
42,{'NGO0928'},,infeasible
43,{'NGO2035'},1.0176868011980127,optimal
44,{'NGO1247'},,infeasible
45,{'NGO1711'},,infeasible
46,{'NGO0714'},1.0176868011980118,optimal
47,{'NGO0799'},1.0176868011980118,optimal
48,{'NGO1233'},1.0176830420408696,optimal
49,{'NGO0169'},,infeasible
50,{'NGO1527'},1.0176868011980127,optimal
51,{'NGO1781'},,infeasible
52,{'NGO1325'},,infeasible
53,{'NGO2070'},,infeasible
54,{'NGO0089'},,infeasible
55,{'NGO0249'},,infeasible
56,{'NGO0403'},,infeasible
57,{'NGO0387'},,infeasible
58,{'NGO1787'},1.0176868011980127,optimal
59,{'NGO0987'},,infeasible
60,{'NGO1610'},1.0176868011980134,optimal
61,{'NGO2145'},,infeasible
62,{'Orphan'},,infeasible
63,{'NGO1802'},,infeasible
64,{'NGO2009'},,infeasible
65,{'NGO1812'},,infeasible
66,{'NGO1919'},,infeasible
67,{'NGO2001'},,infeasible
68,{'NGO2109'},,infeasible
69,{'NGO1195'},1.0176868011980127,optimal
70,{'NGO2168'},,infeasible
71,{'NGO0460'},,infeasible
72,{'NGO2158'},,infeasible
73,{'NGO1782'},,infeasible
74,{'NGO2031'},,infeasible
75,{'NGO1934'},,infeasible
76,{'NGO0068'},,infeasible
77,{'NGO0359'},,infeasible
78,{'NGO1744'},,infeasible
79,{'NGO0257'},,infeasible
80,{'NGO2146'},,infeasible
81,{'NGO1374'},,infeasible
82,{'NGO1082'},,infeasible
83,{'NGO1357'},,infeasible
84,{'NGO1740'},,infeasible
85,{'NGO1881'},,infeasible
86,{'NGO0443'},1.0176868011980127,optimal
87,{'NGO0740'},,infeasible
88,{'NGO1231'},,infeasible
89,{'NGO2038'},1.0176868011980127,optimal
90,{'NGO1931'},,infeasible
91,{'NGO0526'},,infeasible
92,{'NGO1801'},,infeasible
93,{'NGO0144'},1.0176181052445503,optimal
94,{'NGO2030'},,infeasible
95,{'NGO1029'},,infeasible
96,{'NGO0821'},,infeasible
97,{'NGO2080'},,infeasible
98,{'NGO0809'},1.0176830420408698,optimal
99,{'NGO1671'},,infeasible
100,{'NGO0719'},1.0176868011980127,optimal
101,{'NGO2150'},,infeasible
102,{'NGO1568'},,infeasible
103,{'NGO1603'},1.0176868011980127,optimal
104,{'NGO1508'},,infeasible
105,{'NGO0374'},1.0176868011980127,optimal
106,{'NGO0390'},,infeasible
107,{'NGO1311'},,infeasible
108,{'NGO1452'},,infeasible
109,{'NGO0360'},,infeasible
110,{'NGO1695'},,infeasible
111,{'NGO1472'},,infeasible
112,{'NGO0748'},,infeasible
113,{'NGO2148'},,infeasible
114,{'NGO1152'},1.0176868011980127,optimal
115,{'NGO0806'},,infeasible
116,{'NGO0400'},,infeasible
117,{'NGO0345'},,infeasible
118,{'NGO1668'},1.0176868011980127,optimal
119,{'NGO1762'},,infeasible
120,{'NGO1028'},,infeasible
121,{'NGO0614'},,infeasible
122,{'NGO1574'},,infeasible
123,{'NGO0716'},,infeasible
124,{'NGO0900'},,infeasible
125,{'NGO1448'},,infeasible
126,{'NGO0913'},,infeasible
127,{'NGO2069'},1.0176868011980127,optimal
128,{'NGO1539'},,infeasible
129,{'NGO2114'},,infeasible
130,{'NGO1957'},1.0176868011980114,optimal
131,{'NGO1353'},,infeasible
