,AE004969.1
Sgene,1
NMB0319,1
NMB0182,1
NMB0453,1
NMB2039,1
NMB1429,0
NMB0179,1
NMB1921,1
NMB1702,1
NMB1703,0
NMB0219,1
NMB1046,1
NMB0767,1
NMB0352,1
Orphan,1
NMB2075,1
NMB0679,1
NMB1861,1
NMB1177,1
NMB1860,1
NMB1139,1
NMB0418,1
NMB1074,1
NMB1876,1
NMB1576,1
Blank,1
NMB1577,1
NMB0435,1
NMB1518,1
NMB0068,0
NMB0220,1
NMB1916,1
NMB1530,1
NMB1572,1
NMB1371,1
NMB0452,1
NMB1555,1
NMB1970,1
NMB2067,1
NMB0823,1
NMB1064,0
NMB1662,1
NMB0284,1
NMB1155,0
NMB1193,0
NMB0815,1
NMB0668,1
NMB0456,1
NMB0530,1
NMB0360,1
NMB1620,1
NMB0828,1
NMB0469,1
NMB1294,1
NMB2034,1
NMB1787,1
NMB1714,1
NMB0983,1
NMB1019,1
NMB1439,1
NMB0956,1
NMB1217,1
NMB0957,1
NMB0955,1
NMB1216,1
NMB0470,1
NMB2133,1
NMB0792,1
NMB0696,1
NMB0789,1
NMB0787,1
NMB0788,1
NMB1509,1
NMB1612,1
NMB0424,1
NMB1651,1
NMB1647,1
NMB0194,1
NMB0177,1
NMB1304,0
NMB1395,0
NMB0546,1
NMB1353,1
NMB0732,1
NMB2040,1
NMB1416,1
NMB0377,1
NMB0967,1
NMB1021,1
NMB0472,1
NMB1817,1
NMB0468,1
NMB0637,1
NMB2005,1
NMB2129,1
NMB2079,1
NMB2045,1
NMB2044,1
NMB0736,1
NMB1688,1
NMB0466,1
NMB1356,1
NMB1355,1
NMB1358,1
NMB1282,1
NMB0107,1
NMB0106,1
NMB1498,1
NMB0392,1
NMB1029,1
NMB0540,1
NMB0924,1
NMB0814,1
NMB1579,1
NMB1935,1
NMB1938,1
NMB1933,1
NMB1941,1
NMB1934,1
NMB1939,1
NMB1937,1
NMB1940,1
NMB1936,1
NMB1184,1
NMB1146,1
NMB0069,0
NMB0067,0
NMB0072,0
NMB0071,0
NMB0074,0
NMB0073,0
NMB0216,1
NMB1855,1
NMB1849,1
NMB1955,1
NMB1732,0
NMB0874,1
NMB1277,1
NMB0446,1
NMB1692,1
NMB1680,1
NMB0734,1
NMB1794,1
NMB2006,1
NMB0982,1
NMB0537,1
NMB0665,1
NMB0379,1
NMB0954,1
NMB1554,1
NMB0849,1
NMB1042,1
NMB1623,1
NMB1325,1
NMB0578,1
NMB0579,1
NMB1724,1
NMB1805,1
NMB1725,1
NMB0923,1
NMB1723,1
NMB0763,1
NMB0718,1
NMB1300,1
NMB0176,1
NMB1558,1
NMB0185,1
NMB1976,1
NMB0760,1
NMB1256,1
NMB0733,1
NMB0088,1
NMB0307,1
NMB1394,1
NMB1661,1
NMB1150,1
NMB1188,1
NMB0203,1
NMB0929,1
NMB0308,1
NMB0693,1
NMB1063,1
NMB0221,1
NMB0682,1
NMB1691,1
NMB1814,1
NMB1446,1
NMB1712,1
NMB0543,1
NMB0261,1
NMB1831,1
NMB2030,1
NMB0331,1
NMB0006,1
NMB1519,1
NMB0670,1
NMB0893,1
NMB0184,1
NMB1867,1
NMB0336,1
NMB1393,1
NMB1801,1
NMB1418,1
NMB1919,1
NMB1285,1
NMB1663,1
NMB1276,1
NMB1869,1
NMB1060,1
NMB0634,1
NMB0632,1
NMB0633,1
NMB1834,1
NMB1362,1
NMB1613,1
NMB0998,1
NMB1603,0
NMB0038,1
NMB0062,1
NMB0080,0
NMB1864,1
NMB2060,1
NMB1068,1
NMB1392,1
NMB0389,0
NMB1926,1
NMB1928,1
NMB0388,0
NMB0535,1
NMB0638,1
NMB0207,1
NMB2159,1
NMB1566,1
NMB1968,1
NMB1659,1
NMB0031,1
NMB0614,1
NMB1055,1
NMB2064,1
NMB2027,1
NMB1704,1
NMB0359,1
NMB1069,1
NMB1037,1
NMB1710,1
NMB1476,0
NMB0690,1
NMB0458,1
NMB1719,1
NMB0085,1
NMB0576,1
NMB0003,1
NMB1268,0
NMB0574,1
NMB0029,1
NMB1997,1
NMB0825,0
NMB2076,1
NMB2033,1
NMB1920,1
NMB1705,1
NMB1929,1
NMB0015,1
NMB2028,1
NMB1621,0
NMB1057,0
NMB1559,1
NMB1254,1
NMB1467,1
NMB1735,1
NMB2047,1
NMB0735,1
NMB2025,1
NMB2156,1
NMB1527,1
NMB1390,1
NMB1730,1
NMB1668,0
NMB1271,1
NMB1581,1
NMB0539,1
NMB1616,1
NMB1441,1
NMB0745,1
NMB1228,1
NMB2029,1
NMB0940,1
NMB1582,1
NMB0920,1
NMB0628,1
NMB0630,1
NMB1583,1
NMB0275,1
NMB0892,0
NMB0337,1
NMB1201,1
NMB1031,1
NMB1034,1
NMB1036,1
NMB1070,1
NMB1574,1
NMB0675,1
NMB0353,1
NMB1283,1
NMB0209,1
NMB0661,1
NMB1377,1
NMB1073,1
NMB0997,1
NMB1685,1
NMB1729,1
NMB1540,0
NMB1728,1
NMB0340,1
NMB0199,1
NMB1273,1
NMB1274,1
NMB0390,0
NMB1841,1
NMB2046,1
NMB0430,1
NMB0431,1
NMB1918,1
NMB1807,1
NMB0357,1
NMB0413,1
NMB1797,1
NMB0749,1
NMB0877,1
NMB2096,1
NMB0671,0
NMB1310,1
NMB1512,1
NMB1513,1
NMB1799,1
NMB1946,1
NMB1947,1
NMB1948,1
NMB0944,1
NMB0044,1
NMB1999,1
NMB1347,1
NMB1924,1
NMB0033,1
NMB1279,1
NMB0587,1
NMB0586,1
NMB0588,1
NMB0227,0
NMB0014,1
NMB0870,1
NMB0943,1
NMB0666,1
NMB0257,1
NMB0242,1
NMB0259,1
NMB0241,1
NMB0244,1
NMB0243,1
NMB0258,1
NMB0250,1
NMB0245,1
NMB0253,1
NMB0246,1
NMB0249,1
NMB0254,1
NMB0251,1
NMB0564,1
NMB0567,1
NMB0568,1
NMB0566,1
NMB0565,1
NMB0569,1
NMB0807,1
NMB0977,1
NMB1364,1
NMB0978,1
NMB0980,1
NMB1505,1
NMB0716,1
NMB0536,1
NMB0531,1
NMB1307,1
NMB0089,1
NMB0615,1
NMB1622,1
NMB2024,1
NMB2157,1
NMB0396,1
NMB1677,1
NMB1484,1
NMB0639,1
NMB1573,1
NMB0326,1
NMB1640,1
NMB0743,1
NMB0323,1
NMB0824,1
NMB1945,1
NMB1694,1
NMB0559,1
NMB1874,1
NMB0401,1
NMB0055,1
NMB0871,1
NMB0947,1
NMB1341,1
NMB1342,1
NMB1344,1
NMB1360,1
NMB0448,1
NMB0195,1
NMB2010,1
NMB1638,0
NMB1690,1
NMB0334,1
NMB1388,1
NMB0010,1
NMB1391,1
NMB0620,1
NMB1830,1
NMB1604,1
NMB0790,1
NMB0386,1
NMB1588,1
NMB1669,1
NMB1678,1
NMB0378,1
NMB0464,1
NMB0474,1
NMB0270,1
NMB0641,1
NMB0801,1
NMB2061,1
NMB1658,1
NMB1900,1
NMB0440,1
NMB0618,1
NMB2151,1
NMB0688,1
NMB1252,1
NMB0627,1
NMB0757,1
NMB0603,1
NMB1996,1
NMB0629,1
NMB0402,1
NMB0875,1
NMB1432,1
NMB0963,1
NMB0981,1
NMB1318,1
NMB0631,1
NMB2019,1
NMB0610,1
NMB0612,1
NMB0462,1
NMB0623,1
NMB2042,1
NMB0611,1
NMB1594,1
NMB0394,1
NMB0684,1
NMB1247,1
NMB1981,1
NMB1291,1
NMB1288,1
NMB1244,1
NMB1511,1
NMB2090,1
NMB1191,1
NMB1192,0
NMB1154,0
NMB0894,1
NMB0560,1
NMB0878,1
NMB0211,1
NMB1305,1
NMB1194,1
NMB1156,0
NMB0358,1
NMB1813,1
NMB0802,1
NMB1609,1
NMB0922,1
NMB0240,1
NMB0869,1
NMB0884,1
NMB1398,0
NMB1488,1
NMB0950,1
NMB0951,1
NMB0949,1
NMB0948,1
NMB0960,1
NMB0959,1
NMB0881,0
NMB0880,1
NMB1017,1
NMB0879,1
NMB1189,0
NMB1190,0
NMB1151,0
NMB0180,1
NMB0181,1
NMB0351,1
NMB0081,1
NMB0756,1
NMB0063,1
NMB0079,0
NMB0672,1
NMB0550,1
NMB0461,1
NMB0460,1
NMB0335,1
NMB1839,1
NMB0750,1
NMB2026,1
NMB0041,1
NMB2062,1
NMB1379,1
NMB2071,1
NMB1457,1
NMB1709,1
NMB0385,1
NMB2069,1
NMB1887,1
NMB1324,1
NMB1958,1
NMB0699,1
NMB0678,1
NMB2031,1
NMB0414,1
NMB0070,0
NMB0178,1
NMB0011,1
NMB0422,1
NMB0420,1
NMB0423,1
NMB0811,1
NMB2051,1
NMB2052,1
NMB2053,1
NMB0408,1
NMB0186,1
NMB0064,1
NMB0078,0
NMB0416,1
NMB0017,1
NMB1145,1
NMB1183,1
NMB2103,1
NMB0778,1
NMB0777,1
NMB0781,1
NMB0774,1
NMB0428,1
NMB0930,0
NMB1315,1
NMB0544,1
NMB1823,1
NMB0175,0
NGO2109ortholog,1
NGO2110ortholog,1
