,Level_A,Level_B,Level_C,Level_D,ids
0,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0717 glucokinase	K00845 glk; glucokinase [EC:2.7.1.2],NGO0717
1,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_1668 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NGO1668
2,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0719 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NGO0719
3,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],"NGO_0862 fructose 1	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NGO0862
4,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],"NGO_0034 fructose-1	K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",NGO0034
5,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0017 triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],NGO0017
6,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_1776 gapA; glyceraldehyde-3-phosphate dehydrogenase	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],NGO1776
7,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_1931 glyceraldehyde-3-phosphate dehydrogenase	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],NGO1931
8,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_1919 phosphoglycerate kinase	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3],NGO1919
9,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],"NGO_1258 gpmA; phosphoglyceromutase	K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",NGO1258
10,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0617 eno; enolase	K01689 ENO; enolase [EC:4.2.1.11],NGO0617
11,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_1881 pyruvate kinase	K00873 PK; pyruvate kinase [EC:2.7.1.40],NGO1881
12,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],"NGO_0200 phosphoenolpyruvate synthase	K01007 pps; pyruvate, water dikinase [EC:2.7.9.2]",NGO0200
13,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0565 aceE; pyruvate dehydrogenase	K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],NGO0565
14,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0564 dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],NGO0564
15,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0562 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0562
16,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0915 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0915
17,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0925 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0925
18,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],"NGO_1442 adhP; ethanol-active dehydrogenase/acetaldehyde-active reductase	K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",NGO1442
19,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ngo00010],NGO_0375 phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NGO0375
20,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0918 gltA; type II citrate synthase	K01647 CS; citrate synthase [EC:2.3.3.1],NGO0918
21,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_1231 bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	K01682 acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],NGO1231
22,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_1082 isocitrate dehydrogenase	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42],NGO1082
23,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0917 sucA; 2-oxoglutarate dehydrogenase	K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],NGO0917
24,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0916 dihydrolipoamide succinyltransferase	K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],NGO0916
25,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0562 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0562
26,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0915 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0915
27,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0925 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NGO0925
28,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0912 succinyl-CoA synthetase subunit alpha	K01902 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],NGO0912
29,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0913 sucC; succinyl-CoA synthetase subunit beta	K01903 sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],NGO0913
30,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0921 fumarate reductase	K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],NGO0921
31,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0920 sdhB; succinate dehydrogenase	K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],NGO0920
32,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0923 succinate dehydrogenase	K00241 sdhC; succinate dehydrogenase cytochrome b subunit,NGO0923
33,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0922 succinate dehydrogenase	K00242 sdhD; succinate dehydrogenase membrane anchor subunit,NGO0922
34,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],"NGO_1029 fumarate hydratase	K01679 E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]",NGO1029
35,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_1980 malate:quinone oxidoreductase	K00116 mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],NGO1980
36,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0565 aceE; pyruvate dehydrogenase	K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],NGO0565
37,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ngo00020],NGO_0564 dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],NGO0564
38,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ngo00030],NGO_1668 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NGO1668
39,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ngo00030],NGO_0719 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NGO0719
40,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ngo00030],NGO_0715 glucose-6-phosphate dehydrogenase	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],NGO0715
41,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ngo00030],NGO_0716 6-phosphogluconolactonase	K01057 PGLS; 6-phosphogluconolactonase [EC:3.1.1.31],NGO0716
42,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ngo00030],NGO_1914 6-phosphogluconate dehydrogenase	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],NGO1914
