RefSeq_ID,Protein_ID,Gene_ID,Uniprot_ID,BVBRC_ID,PUBMLST_locus
NGO0001,YP_207186.1,3283049,Q5FAJ2,fig|242231.10.peg.1,NEIS0320
NGO0002,YP_207187.1,3283050,Q5FAJ1,fig|242231.10.peg.2,NEIS0321
NGO0003,YP_207188.1,3283051,Q5FAJ0,fig|242231.10.peg.3,NEIS0323
NGO0004,YP_207189.1,3283052,#N/A,fig|242231.10.peg.4,NEIS0324
NGO0006,YP_207190.1,3283053,#N/A,fig|242231.10.peg.7,NEIS0326
NGO0007,YP_207191.1,3283054,#N/A,fig|242231.10.peg.8,NEIS2477
NGO0008,YP_207192.1,3283055,#N/A,fig|242231.10.peg.10,#N/A
NGO0009,YP_207193.1,3283056,#N/A,#N/A,#N/A
NGO0010,YP_207194.1,3283057,#N/A,fig|242231.10.peg.12,#N/A
NGO0011,YP_207195.1,3283058,Q5FAK0,fig|242231.10.peg.13,NEIS0331
NGO0015,YP_207196.1,3283059,#N/A,#N/A,#N/A
NGO0016,YP_207197.1,3283060,Q5FAJ8,fig|242231.10.peg.16,NEIS0333
NGO0017,YP_207198.1,3283061,Q5FAJ7,fig|242231.10.peg.17,NEIS0334
NGO0018,YP_207199.1,3283062,Q5FAJ6,fig|242231.10.peg.18,NEIS0335
NGO0019,YP_207200.1,3283075,Q5FAJ5,fig|242231.10.peg.19,NEIS0336
NGO0020,YP_207201.1,3283063,Q5FAJ4,fig|242231.10.peg.20,NEIS0337
NGO0021,YP_207202.1,3283064,Q5FAL3,fig|242231.10.peg.21,NEIS0338
NGO0022,YP_207203.1,3283065,Q5FAL2,fig|242231.10.peg.22,NEIS0339
NGO0023,YP_207204.1,3283066,Q5FAL1,fig|242231.10.peg.23,NEIS0340
NGO0024,YP_207205.1,3283067,#N/A,#N/A,#N/A
NGO0025,YP_207206.1,3283069,Q5FAK9,fig|242231.10.peg.25,NEIS0341
NGO0026,YP_207207.1,3283068,Q5FAK8,fig|242231.10.peg.26,NEIS0342
NGO0027,YP_207208.1,3283070,Q5FAK7,fig|242231.10.peg.27,NEIS0343
NGO0028,YP_207209.1,3282486,Q5FAK6,fig|242231.10.peg.28,NEIS0344
NGO0029,YP_207210.1,3282518,Q5FAK5,fig|242231.10.peg.29,NEIS0345
NGO0030,YP_207211.1,3282003,Q5FAI8,fig|242231.10.peg.30,NEIS0346
NGO0031,YP_207212.1,3281862,Q5FAI7,fig|242231.10.peg.31,NEIS0347
NGO0032,YP_207213.1,3281867,Q5FAI6,fig|242231.10.peg.32,NEIS0348
NGO0033,YP_207214.1,3281909,#N/A,fig|242231.10.peg.33,NEIS0349
NGO0034,YP_207215.1,3282170,Q5FAI4,fig|242231.10.peg.34,NEIS0350
NGO0035,YP_207216.1,3282503,Q5FAI3,fig|242231.10.peg.35,NEIS0351
NGO0036,YP_207217.1,3281875,Q5FAI2,fig|242231.10.peg.36,NEIS0352
NGO0037,YP_207218.1,3282401,Q5FAI1,fig|242231.10.peg.38,NEIS0353
NGO0039,YP_207219.1,3282360,#N/A,fig|242231.10.peg.41,NEIS2580
NGO0040,YP_207220.1,3282386,Q5FAH9,fig|242231.10.peg.42,NEIS0354
NGO0042,YP_207221.1,3282379,Q5FAH8,fig|242231.10.peg.46,NEIS0355
NGO0043,YP_207222.1,3282387,Q5FAH7,fig|242231.10.peg.47,NEIS0356
NGO0044,YP_207223.1,3282361,Q5FAH6,fig|242231.10.peg.49,NEIS0357
NGO0045,YP_207224.1,3282340,Q5FAH5,fig|242231.10.peg.50,NEIS0358
NGO0046,YP_207225.1,3282375,Q5FAH4,fig|242231.10.peg.51,NEIS2581
NGO0047,YP_207226.1,3282377,Q5FAH3,fig|242231.10.peg.52,NEIS0360
NGO0048,YP_207227.1,3282357,Q5FAH2,fig|242231.10.peg.53,NEIS0363
NGO0049,YP_207228.1,3282365,Q5FAH1,#N/A,NEIS2582
NGO0050,YP_207229.1,3282350,Q5FAH0,fig|242231.10.peg.55,#N/A
NGO0053,YP_207230.1,3282335,Q5FAG9,fig|242231.10.peg.58,NEIS0370
NGO0054,YP_207231.1,3282336,#N/A,fig|242231.10.peg.59,#N/A
NGO0055,YP_207232.1,3282341,#N/A,fig|242231.10.peg.61,NEIS0371
NGO0056,YP_207233.1,3282337,Q5FAG6,fig|242231.10.peg.65,NEIS0372
NGO0057,YP_207234.1,3282274,Q5FAG5,fig|242231.10.peg.66,NEIS0373
NGO0058,YP_207235.1,3282324,#N/A,fig|242231.10.peg.67,NEIS0374
NGO0059,YP_207236.1,3282327,Q5FAG3,fig|242231.10.peg.68,NEIS0375
