,AE004969.1
Blank,Blank
NGO2109ortholog,NGO2109
NGO2110ortholog,NGO2110
NMB0003,NGO1926
NMB0006,NGO1923
NMB0010,NGO1919
NMB0011,NGO1918
NMB0014,NGO1915
NMB0015,NGO1914
NMB0017,NGO2065
NMB0029,NGO2043
NMB0031,NGO2045
NMB0033,NGO2048
NMB0038,NGO2053
NMB0041,NGO2056
NMB0044,NGO2059
NMB0055,NGO1905
NMB0062,NGO1898
NMB0063,NGO1897
NMB0064,NGO1896
NMB0067,None
NMB0068,None
NMB0069,None
NMB0070,None
NMB0071,None
NMB0072,None
NMB0073,None
NMB0074,None
NMB0078,None
NMB0079,None
NMB0080,None
NMB0081,NGO10165
NMB0085,NGO1890
NMB0088,NGO10090
NMB0089,NGO1881
NMB0106,NGO1877
NMB0107,NGO1876
NMB0175,None
NMB0176,NGO1808
NMB0177,NGO1807
NMB0178,NGO1806
NMB0179,NGO1804
NMB0180,NGO1803
NMB0181,NGO1802
NMB0182,NGO1801
NMB0184,NGO1799
NMB0185,NGO1798
NMB0186,NGO1797
NMB0194,NGO1787
NMB0195,NGO1786
NMB0199,NGO1782
NMB0203,NGO1781
NMB0207,NGO1776
NMB0209,NGO1774
NMB0211,NGO1773
NMB0216,NGO1767
NMB0219,NGO1763
NMB0220,NGO1762
NMB0221,NGO1761
NMB0227,None
NMB0240,NGO1752
NMB0241,NGO1751
NMB0242,NGO1750
NMB0243,NGO1749
NMB0244,NGO1748
NMB0245,NGO1747
NMB0246,NGO1746
NMB0249,NGO1745
NMB0250,NGO1744
NMB0251,NGO1743
NMB0253,NGO1742
NMB0254,NGO1741
NMB0257,NGO1740
NMB0258,NGO1738
NMB0259,NGO1737
NMB0261,NGO1735
NMB0270,NGO1725
NMB0275,NGO1721
NMB0284,NGO1711
NMB0307,NGO1695
NMB0308,NGO1694
NMB0319,NGO1682
NMB0323,NGO1678
NMB0326,NGO1675
NMB0331,NGO1671
NMB0334,NGO1668
NMB0335,NGO1667
NMB0336,NGO1666
NMB0337,NGO1665
NMB0340,NGO08805
NMB0351,NGO1610
NMB0352,NGO1609
NMB0353,NGO1608
NMB0357,NGO1603
NMB0358,NGO1602
NMB0359,NGO1600
NMB0360,NGO1599
NMB0377,NGO1583
NMB0378,NGO1581
NMB0379,NGO1580
NMB0385,NGO1575
NMB0386,NGO1574
NMB0388,None
NMB0389,None
NMB0390,None
NMB0392,NGO1568
NMB0394,NGO1567
NMB0396,NGO1565
NMB0401,NGO08225
NMB0402,NGO1552
NMB0408,NGO1547
NMB0413,NGO1542
NMB0414,NGO1541
NMB0416,NGO1539
NMB0418,NGO1537
NMB0420,NGO1535
NMB0422,NGO1533
NMB0423,NGO1532
NMB0424,NGO1531
NMB0428,NGO1527
NMB0430,NGO1526
NMB0431,NGO1525
NMB0435,NGO1521
NMB0440,NGO1515
NMB0446,NGO1510
NMB0448,NGO1508
NMB0452,NGO1507
NMB0453,NGO1506
NMB0456,NGO1502
NMB0458,NGO1500
NMB0460,NGO1496
NMB0461,NGO1495
NMB0462,NGO1494
NMB0464,NGO1492
NMB0466,NGO1489
NMB0468,NGO1487
NMB0469,NGO1486
NMB0470,NGO1485
NMB0472,NGO1483
NMB0474,NGO1481
NMB0530,NGO0135
NMB0531,NGO0136
NMB0535,NGO0142
NMB0536,NGO0143
NMB0537,NGO0144
NMB0539,NGO0146
NMB0540,NGO1452
NMB0543,NGO1449
NMB0544,NGO1448
NMB0546,NGO1442
NMB0550,NGO1438
NMB0559,NGO1424
NMB0560,NGO1423
NMB0564,NGO1418
NMB0565,NGO1417
NMB0566,NGO1416
NMB0567,NGO1415
NMB0568,NGO1414
NMB0569,NGO1413
NMB0574,NGO1406
NMB0576,NGO1403
NMB0578,NGO07395
NMB0579,NGO1399
NMB0586,NGO0168
NMB0587,NGO0169
NMB0588,NGO0170
NMB0603,NGO0185
NMB0610,NGO0192
NMB0611,NGO0195
NMB0612,NGO0196
NMB0614,NGO0197
NMB0615,NGO0198
NMB0618,NGO0200
NMB0620,NGO0203
NMB0623,NGO0206
NMB0627,NGO0210
NMB0628,NGO0211
NMB0629,NGO0212
NMB0630,NGO0213
NMB0631,NGO0214
NMB0632,NGO0215
NMB0633,NGO0216
NMB0634,NGO0217
NMB0637,NGO0219
NMB0638,NGO0220
NMB0639,NGO0221
NMB0641,NGO0223
NMB0661,NGO0230
NMB0665,NGO0234
NMB0666,NGO0235
NMB0668,NGO0237
NMB0670,NGO0239
NMB0671,None
NMB0672,NGO0242
NMB0675,NGO0245
NMB0678,NGO0248
NMB0679,NGO0249
NMB0682,NGO0255
NMB0684,NGO0257
NMB0688,NGO0261
NMB0690,NGO0263
NMB0693,NGO0266
NMB0696,NGO0269
NMB0699,NGO0274
NMB0716,NGO0291
NMB0718,NGO0293
NMB0732,NGO0308
NMB0733,NGO0309
NMB0734,NGO0310
NMB0735,NGO0312
NMB0736,NGO0313
NMB0743,NGO0321
NMB0745,NGO0323
NMB0749,NGO0327
NMB0750,NGO0328
NMB0756,NGO0332
NMB0757,NGO0333
NMB0760,NGO0338
NMB0763,NGO0340
NMB0767,NGO0345
NMB0774,NGO0353
NMB0777,NGO0359
NMB0778,NGO0360
NMB0781,NGO0362
NMB0787,NGO0372
NMB0788,NGO0373
NMB0789,NGO0374
NMB0790,NGO0375
NMB0792,NGO0377
NMB0801,NGO0385
NMB0802,NGO0386
NMB0807,NGO0390
NMB0811,NGO0394
NMB0814,NGO0397
NMB0815,NGO0398
NMB0823,NGO0400
NMB0824,NGO0401
NMB0825,None
NMB0828,NGO0403
NMB0849,NGO0421
NMB0869,NGO0435
NMB0870,NGO0436
NMB0871,NGO0437
NMB0874,NGO0440
NMB0875,NGO0441
NMB0877,NGO0443
NMB0878,NGO0444
NMB0879,NGO0445
NMB0880,NGO0446
NMB0881,None
NMB0884,NGO0450
NMB0892,None
NMB0893,NGO0459
NMB0894,NGO0460
NMB0920,NGO1082
NMB0922,NGO1081
NMB0923,NGO1080
NMB0924,NGO1079
NMB0929,NGO0947
NMB0930,None
NMB0940,NGO0933
NMB0943,NGO0929
NMB0944,NGO0928
NMB0947,NGO0925
NMB0948,NGO0923
NMB0949,NGO0922
NMB0950,NGO0921
NMB0951,NGO0920
NMB0954,NGO0918
NMB0955,NGO0917
NMB0956,NGO0916
NMB0957,NGO0915
NMB0959,NGO0913
NMB0960,NGO0912
NMB0963,NGO1206
NMB0967,NGO1203
NMB0977,NGO1473
NMB0978,NGO1472
NMB0980,NGO1470
NMB0981,NGO1468
NMB0982,NGO1467
NMB0983,NGO1466
NMB0997,NGO0890
NMB0998,NGO0893
NMB1017,NGO04615
NMB1019,NGO0875
NMB1021,NGO0872
NMB1029,NGO0556
NMB1031,NGO0674
NMB1034,NGO0677
NMB1036,NGO0679
NMB1037,NGO0680
NMB1042,NGO0685
NMB1046,NGO0689
NMB1055,NGO0866
NMB1057,None
NMB1060,NGO0862
NMB1063,NGO0857
NMB1064,None
NMB1068,NGO0850
NMB1069,NGO0849
NMB1070,NGO0848
NMB1073,NGO0845
NMB1074,NGO0844
NMB1139,NGO0821
NMB1145,NGO0815
NMB1146,NGO0813
NMB1150,NGO0809
NMB1151,None
NMB1154,None
NMB1155,None
NMB1156,None
NMB1177,NGO0821
NMB1183,NGO0815
NMB1184,NGO0813
NMB1188,NGO0809
NMB1189,None
NMB1190,None
NMB1191,NGO0806
NMB1192,None
NMB1193,None
NMB1194,NGO0806
NMB1201,NGO0799
NMB1216,NGO0793
NMB1217,NGO0792
NMB1228,NGO0779
NMB1244,NGO0758
NMB1247,NGO0755
NMB1252,NGO0526
NMB1254,NGO1134
NMB1256,NGO0704
NMB1268,None
NMB1271,NGO0537
NMB1273,NGO0534
NMB1274,NGO0533
NMB1276,NGO0530
NMB1277,NGO0529
NMB1279,NGO0626
NMB1282,NGO0620
NMB1283,NGO0619
NMB1285,NGO0617
NMB1288,NGO0615
NMB1291,NGO0614
NMB1294,NGO0611
NMB1300,NGO0605
NMB1304,None
NMB1305,NGO0600
NMB1307,NGO0597
NMB1310,NGO0594
NMB1315,NGO0589
NMB1318,NGO0586
NMB1324,NGO0580
NMB1325,NGO0579
NMB1341,NGO0565
NMB1342,NGO0564
NMB1344,NGO0562
NMB1347,NGO0671
NMB1353,NGO0665
NMB1355,NGO0663
NMB1356,NGO0662
NMB1358,NGO0660
NMB1360,NGO0658
NMB1362,NGO0656
NMB1364,NGO0654
NMB1371,NGO0646
NMB1377,NGO0639
NMB1379,NGO0636
NMB1388,NGO0719
NMB1390,NGO0717
NMB1391,NGO0716
NMB1392,NGO0715
NMB1393,NGO0714
NMB1394,NGO0713
NMB1395,None
NMB1398,None
NMB1416,NGO0158
