,AE004969.1
Sgene,0.0
NMB0319,1.0
NMB0182,1.0
NMB0453,1.0
NMB2039,1.0
NMB1429,1.0
NMB0179,1.0
NMB1921,1.0
NMB1702,1.0
NMB1703,1.0
NMB0219,1.0
NMB1046,1.0
NMB0767,1.0
NMB0352,1.0
Orphan,0.0
NMB2075,1.0
NMB0679,1.0
NMB1861,1.0
NMB1177,1.0
NMB1860,1.0
NMB1139,1.0
NMB0418,1.0
NMB1074,1.0
NMB1876,1.0
NMB1576,1.0
Blank,0.0
NMB1577,1.0
NMB0435,1.0
NMB1518,1.0
NMB0068,0.0
NMB0220,1.0
NMB1916,1.0
NMB1530,1.0
NMB1572,1.0
NMB1371,1.0
NMB0452,1.0
NMB1555,1.0
NMB1970,1.0
NMB2067,1.0
NMB0823,1.0
NMB1064,1.0
NMB1662,1.0
NMB0284,1.0
NMB1155,0.0
NMB1193,0.0
NMB0815,1.0
NMB0668,1.0
NMB0456,1.0
NMB0530,1.0
NMB0360,1.0
NMB1620,1.0
NMB0828,1.0
NMB0469,1.0
NMB1294,1.0
NMB2034,1.0
NMB1787,1.0
NMB1714,1.0
NMB0983,1.0
NMB1019,1.0
NMB1439,1.0
NMB0956,1.0
NMB1217,1.0
NMB0957,1.0
NMB0955,1.0
NMB1216,1.0
NMB0470,1.0
NMB2133,1.0
NMB0792,1.0
NMB0696,1.0
NMB0789,1.0
NMB0787,1.0
NMB0788,1.0
NMB1509,1.0
NMB1612,1.0
NMB0424,1.0
NMB1651,1.0
NMB1647,1.0
NMB0194,1.0
NMB0177,1.0
NMB1304,1.0
NMB1395,1.0
NMB0546,1.0
NMB1353,1.0
NMB0732,1.0
NMB2040,1.0
NMB1416,1.0
NMB0377,1.0
NMB0967,1.0
NMB1021,1.0
NMB0472,1.0
NMB1817,1.0
NMB0468,1.0
NMB0637,1.0
NMB2005,1.0
NMB2129,1.0
NMB2079,1.0
NMB2045,1.0
NMB2044,1.0
NMB0736,1.0
NMB1688,1.0
NMB0466,1.0
NMB1356,1.0
NMB1355,1.0
NMB1358,1.0
NMB1282,1.0
NMB0107,1.0
NMB0106,1.0
NMB1498,1.0
NMB0392,1.0
NMB1029,1.0
NMB0540,1.0
NMB0924,1.0
NMB0814,1.0
NMB1579,1.0
NMB1935,1.0
NMB1938,1.0
NMB1933,1.0
NMB1941,1.0
NMB1934,1.0
NMB1939,1.0
NMB1937,1.0
NMB1940,1.0
NMB1936,1.0
NMB1184,1.0
NMB1146,1.0
NMB0069,0.0
NMB0067,0.0
NMB0072,0.0
NMB0071,0.0
NMB0074,0.0
NMB0073,0.0
NMB0216,1.0
NMB1855,1.0
NMB1849,1.0
NMB1955,1.0
NMB1732,0.0
NMB0874,1.0
NMB1277,1.0
NMB0446,1.0
NMB1692,1.0
NMB1680,1.0
NMB0734,1.0
NMB1794,1.0
NMB2006,1.0
NMB0982,1.0
NMB0537,1.0
NMB0665,1.0
NMB0379,1.0
NMB0954,1.0
NMB1554,1.0
NMB0849,1.0
NMB1042,1.0
NMB1623,1.0
NMB1325,1.0
NMB0578,1.0
NMB0579,1.0
NMB1724,1.0
NMB1805,1.0
NMB1725,1.0
NMB0923,1.0
NMB1723,1.0
NMB0763,1.0
NMB0718,1.0
NMB1300,1.0
NMB0176,1.0
NMB1558,1.0
NMB0185,1.0
NMB1976,1.0
NMB0760,1.0
NMB1256,1.0
NMB0733,1.0
NMB0088,1.0
NMB0307,1.0
NMB1394,1.0
NMB1661,1.0
NMB1150,1.0
NMB1188,1.0
NMB0203,1.0
NMB0929,1.0
NMB0308,1.0
NMB0693,1.0
NMB1063,1.0
NMB0221,1.0
NMB0682,1.0
NMB1691,1.0
NMB1814,1.0
NMB1446,1.0
NMB1712,1.0
NMB0543,1.0
NMB0261,1.0
NMB1831,1.0
NMB2030,1.0
NMB0331,1.0
NMB0006,1.0
NMB1519,1.0
NMB0670,1.0
NMB0893,1.0
NMB0184,1.0
NMB1867,1.0
NMB0336,1.0
NMB1393,1.0
NMB1801,1.0
NMB1418,1.0
NMB1919,1.0
NMB1285,1.0
NMB1663,1.0
NMB1276,1.0
NMB1869,1.0
NMB1060,1.0
NMB0634,1.0
NMB0632,1.0
NMB0633,1.0
NMB1834,1.0
NMB1362,1.0
NMB1613,1.0
NMB0998,1.0
NMB1603,0.0
NMB0038,1.0
NMB0062,1.0
NMB0080,1.0
NMB1864,1.0
NMB2060,1.0
NMB1068,1.0
NMB1392,1.0
NMB0389,1.0
NMB1926,1.0
NMB1928,1.0
NMB0388,1.0
NMB0535,1.0
NMB0638,1.0
NMB0207,1.0
NMB2159,1.0
NMB1566,1.0
NMB1968,1.0
NMB1659,1.0
NMB0031,1.0
NMB0614,1.0
NMB1055,1.0
NMB2064,1.0
NMB2027,1.0
NMB1704,1.0
NMB0359,1.0
NMB1069,1.0
NMB1037,1.0
NMB1710,1.0
NMB1476,1.0
NMB0690,1.0
NMB0458,1.0
NMB1719,1.0
NMB0085,1.0
NMB0576,1.0
NMB0003,1.0
NMB1268,1.0
NMB0574,1.0
NMB0029,1.0
NMB1997,1.0
NMB0825,1.0
NMB2076,1.0
NMB2033,1.0
NMB1920,1.0
NMB1705,1.0
NMB1929,1.0
NMB0015,1.0
NMB2028,1.0
NMB1621,0.0
NMB1057,1.0
NMB1559,1.0
NMB1254,1.0
NMB1467,1.0
NMB1735,1.0
NMB2047,1.0
NMB0735,1.0
NMB2025,1.0
NMB2156,1.0
NMB1527,1.0
NMB1390,1.0
NMB1730,1.0
NMB1668,1.0
NMB1271,1.0
NMB1581,1.0
NMB0539,1.0
NMB1616,1.0
NMB1441,1.0
NMB0745,1.0
NMB1228,1.0
NMB2029,1.0
NMB0940,1.0
NMB1582,1.0
NMB0920,1.0
NMB0628,1.0
NMB0630,1.0
NMB1583,1.0
NMB0275,1.0
NMB0892,1.0
NMB0337,1.0
NMB1201,1.0
NMB1031,1.0
NMB1034,1.0
NMB1036,1.0
NMB1070,1.0
NMB1574,1.0
NMB0675,1.0
NMB0353,1.0
NMB1283,1.0
NMB0209,1.0
NMB0661,1.0
NMB1377,1.0
NMB1073,1.0
NMB0997,1.0
NMB1685,1.0
NMB1729,1.0
NMB1540,1.0
NMB1728,1.0
NMB0340,1.0
NMB0199,1.0
NMB1273,1.0
NMB1274,1.0
NMB0390,1.0
NMB1841,1.0
NMB2046,1.0
NMB0430,1.0
NMB0431,1.0
NMB1918,1.0
NMB1807,1.0
NMB0357,1.0
NMB0413,1.0
NMB1797,1.0
NMB0749,1.0
NMB0877,1.0
NMB2096,1.0
NMB0671,1.0
NMB1310,1.0
NMB1512,1.0
NMB1513,1.0
NMB1799,1.0
NMB1946,1.0
NMB1947,1.0
NMB1948,1.0
NMB0944,1.0
NMB0044,1.0
NMB1999,1.0
NMB1347,1.0
NMB1924,1.0
NMB0033,1.0
NMB1279,1.0
NMB0587,1.0
NMB0586,1.0
NMB0588,1.0
NMB0227,0.0
NMB0014,1.0
NMB0870,1.0
NMB0943,1.0
NMB0666,1.0
NMB0257,1.0
