Locus Tag ID,Annotation,Amino Acid Length/Accession Number,Protein Description,Protein.ID,Location,Percent.Identity,,,,,,,,,,,
NGO_0001,New_annotation_FA1090,"518aa, >lcl|AE004969.1 prot AAW88774.1 1",chromosomal replication initiation protein,AAW88774.1,159..1715,100%,,,,,,,,,,,
NGO0001,Old_annotation_FA1090,"518aa, >lcl|NC 002946.2 cdsid YP 207186.1",chromosomal replication initiation protein,YP_207186.1,159..1715,100%,,,,,,,,,,,
NGO_0002,New_annotation_FA1090,"367aa, >lcl|AE004969.1 prot AAW88775.1 2",DNA polymerase III subunit beta,AAW88775.1,1795..2898,100%,,,,,,,,,,,
NGO0002,Old_annotation_FA1090,"367aa, >lcl|NC 002946.2 cdsid YP 207187.1",DNA polymerase III subunit beta,YP_207187.1,1795..2898,100%,,,,,,,,,,,
NGO_0003,New_annotation_FA1090,"685aa, >lcl|AE004969.1 prot AAW88776.1 3",polyphosphate kinase,AAW88776.1,complement(3047..5104),100%,,,,,,,,,,,
NGO0003,Old_annotation_FA1090,"685aa, >lcl|NC 002946.2 cdsid YP 207188.1",polyphosphate kinase,YP_207188.1,complement(3047..5104),100%,,,,,,,,,,,
NGO_0004,New_annotation_FA1090,"147aa, >lcl|AE004969.1 prot AAW88777.1 4",hypothetical protein,AAW88777.1,complement(5273..5716),100%,,,,,,,,,,,
NGO0004,Old_annotation_FA1090,"147aa, >lcl|NC 002946.2 cdsid YP 207189.1",hypothetical protein,YP_207189.1,complement(5273..5716),100%,,,,,,,,,,,
NGO0006,Old_annotation_FA1090,"878 aa, >lcl |NC_002946.2_cdsid_YP_207190.1",putative leucyl-tRNA synthetase,YP_207190.1,6500..9136,<100%,,,,,,,,,,,
NGO_0006,New_annotation_FA1090,"876aa, >lcl|AE004969.1 prot AAW88778.2 5",leucine--tRNA ligase,AAW88778.2,6506..9136,100%,,,,,,,,,,,
NGO_0007,New_annotation_FA1090,"309aa, >lcl|AE004969.1 prot AAW88779.1 6",restriction endonuclease,AAW88779.1,9365..10294,100%,,,,,,,,,,,
NGO0007,Old_annotation_FA1090,"309aa, >lcl|NC 002946.2 cdsid YP 207191.1",type II restriction endonuclease,YP_207191.1,9365..10294,100%,,,,,,,,,,,
NGO_0010,New_annotation_FA1090,"66aa, >lcl|AE004969.1 prot AAW88782.1 7",hypothetical protein,AAW88782.1,complement(12107..12307),100%,,,,,,,,,,,
NGO0010,Old_annotation_FA1090,"66aa, >lcl|NC 002946.2 cdsid YP 207194.1",hypothetical protein,YP_207194.1,complement(12107..12307),100%,,,,,,,,,,,
NGO_0011,New_annotation_FA1090,"103aa, >lcl|AE004969.1 prot AAW88783.1 8",DNA-binding protein,AAW88783.1,complement(12417..12728),100%,,,,,,,,,,,
