,Level_A,Level_B,Level_C,Level_D,ids
0,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB1390 glk; glucokinase	K00845 glk; glucokinase [EC:2.7.1.2],NMB1390
1,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0334 pgi-1; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB0334
2,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB1388 pgi-2; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB1388
3,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1060 fbp; fructose-1,6-bisphosphatase	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NMB1060
4,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1869 cbbA; fructose-bisphosphate aldolase	K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",NMB1869
5,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB1887 tpiA; triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],NMB1887
6,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB2159 gapA-2; glyceraldehyde 3-phosphate dehydrogenase	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],NMB2159
7,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0207 gapA-1; glyceraldehyde 3-phosphate dehydrogenase	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],NMB0207
8,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0010 pgk; phosphoglycerate kinase	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3],NMB0010
9,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1604 gpm; phosphoglycerate mutase	K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",NMB1604
