,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,NMB0001,NGO_1928,96.951,164,5,0,1,164,1,164,1.06e-118,328.0,164,1.0,<=>
1,NMB0002,NGO_1927,89.394,132,14,0,1,132,1,132,4.97e-84,238.0,132,1.0,<=>
2,NMB0003,NGO_1926,95.054,465,23,0,1,465,1,465,0.0,915.0,465,1.0,<=>
5,NMB0004,NGO_1925,98.592,213,3,0,1,213,1,213,1.44e-156,428.0,215,0.9906976744186047,<=>
6,NMB0005,NGO_1924,95.763,118,5,0,1,118,1,118,1.31e-78,223.0,118,1.0,<=>
7,NMB0006,NGO_1923,96.528,144,5,0,18,161,18,161,4.14e-106,296.0,161,0.8944099378881988,<=>
10,NMB0007,NGO_1922,98.157,217,4,0,1,217,1,217,7.93e-159,434.0,217,1.0,<=>
39,NMB0008,NGO_1921,96.405,306,11,0,1,306,1,306,0.0,603.0,306,1.0,<=>
40,NMB0009,NGO_1920,95.181,83,4,0,1,83,1,83,1.32e-53,157.0,83,1.0,<=>
42,NMB0010,NGO_1919,95.75,400,6,1,1,400,1,389,0.0,754.0,404,0.9900990099009901,<=>
43,NMB0011,NGO_1918,97.608,418,10,0,1,418,1,418,0.0,820.0,418,1.0,<=>
44,NMB0012,NGO_1917,96.875,320,10,0,1,320,1,320,0.0,621.0,324,0.9876543209876543,<=>
46,NMB0013,NGO_1916,96.667,150,5,0,1,150,1,150,1.4999999999999998e-101,283.0,150,1.0,<=>
47,NMB0014,NGO_1915,96.934,424,13,0,1,424,1,424,0.0,850.0,424,1.0,<=>
48,NMB0015,NGO_1914,96.273,483,18,0,1,483,1,483,0.0,959.0,483,1.0,<=>
49,NMB0017,NGO_2065,96.753,308,10,0,1,308,1,308,0.0,608.0,308,1.0,<=>
50,NMB0018,NGO_11165,77.419,124,25,2,46,167,1,123,5.96e-64,189.0,171,0.7251461988304093,<=>
71,NMB0019,NGO_11140,74.603,126,30,2,1,125,18,142,4.69e-60,178.0,137,0.9197080291970803,<=>
90,NMB0020,NGO_10975,76.786,112,23,2,5,116,111,219,2.72e-55,168.0,125,0.896,->
115,NMB0021,NGO_11155,78.313,83,16,1,34,116,1,81,1.0599999999999999e-34,116.0,125,0.664,->
129,NMB0022,NGO_11155,80.0,75,15,0,16,90,1,75,3.5299999999999997e-34,114.0,113,0.6637168141592921,<=>
138,NMB0023,NGO_10975,79.31,116,22,1,5,120,111,224,1.38e-61,184.0,136,0.8529411764705882,<=>
156,NMB0024,NGO_11140,72.816,103,23,2,5,106,40,138,3e-45,143.0,199,0.5175879396984925,->
174,NMB0025,NGO_11130,75.758,99,21,2,5,102,155,251,3.0900000000000002e-43,142.0,226,0.43805309734513276,->
197,NMB0026,NGO_10975,76.623,77,18,0,1,77,26,102,8.579999999999999e-40,128.0,116,0.6637931034482759,->
214,NMB0027,NGO_1225,44.34,106,57,1,2,107,149,252,2.35e-20,79.0,110,0.9636363636363636,->
215,NMB0029,NGO_2043,94.286,105,6,0,214,318,1,105,8.789999999999999e-67,201.0,318,0.330188679245283,<=>
217,NMB0030,NGO_2044,95.335,686,31,1,1,686,1,685,0.0,1370.0,686,1.0,<=>
221,NMB0031,NGO_2045,97.553,613,15,0,1,613,1,613,0.0,1220.0,613,1.0,<=>
223,NMB0032,NGO_2047,92.529,174,11,2,3,176,1,172,9.139999999999999e-115,319.0,176,0.9886363636363636,<=>
224,NMB0033,NGO_2048,95.928,442,18,0,1,442,1,442,0.0,879.0,442,1.0,<=>
226,NMB0035,NGO_2050,96.144,389,15,0,1,389,1,389,0.0,730.0,389,1.0,<=>
227,NMB0036,NGO_2051,95.024,422,21,0,1,422,1,422,0.0,828.0,422,1.0,<=>
228,NMB0037,NGO_2052,98.182,110,2,0,1,110,1,110,1.3000000000000001e-79,225.0,110,1.0,<=>
229,NMB0038,NGO_2053,92.998,457,32,0,1,457,1,457,0.0,847.0,457,1.0,<=>
232,NMB0039,NGO_2054,94.505,91,5,0,1,91,1,91,5.81e-64,184.0,91,1.0,<=>
233,NMB0040,NGO_2055,92.704,233,17,0,1,233,1,233,2.9600000000000006e-163,447.0,238,0.9789915966386554,<=>
235,NMB0041,NGO_2056,98.204,334,6,0,1,334,1,334,0.0,665.0,334,1.0,<=>
236,NMB0042,NGO_2057,98.587,283,4,0,1,283,1,283,0.0,561.0,283,1.0,<=>
237,NMB0043,NGO_2058,98.148,162,2,1,1,162,1,161,2.53e-115,319.0,162,1.0,<=>
238,NMB0044,NGO_2059,97.514,523,13,0,1,523,1,523,0.0,1065.0,523,1.0,<=>
242,NMB0045,NGO_2060,95.498,422,19,0,1,422,1,422,0.0,797.0,422,1.0,<=>
244,NMB0047,NGO_1911,97.895,95,2,0,1,95,1,95,7.779999999999999e-67,191.0,95,1.0,<=>
245,NMB0050,NGO_1910,95.537,717,32,0,1,717,1,717,0.0,1412.0,717,1.0,<=>
246,NMB0051,NGO_1909,98.533,409,6,0,1,409,1,409,0.0,836.0,409,1.0,<=>
250,NMB0052,NGO_1908,98.276,348,6,0,1,348,1,348,0.0,696.0,348,1.0,<=>
255,NMB0053,NGO_1907,95.633,229,10,0,1,229,1,229,1.4900000000000001e-164,449.0,229,1.0,<=>
256,NMB0054,NGO_1906,92.647,136,10,0,1,136,1,136,1.4999999999999999e-92,259.0,136,1.0,<=>
257,NMB0055,NGO_1905,96.97,264,8,0,1,264,1,264,0.0,519.0,264,1.0,<=>
258,NMB0056,NGO_1904,97.122,139,4,0,1,139,1,139,8.48e-100,278.0,139,1.0,<=>
259,NMB0057,NGO_1902,70.408,98,1,1,50,119,1,98,1.5300000000000002e-37,119.0,119,0.8235294117647058,->
262,NMB0059,NGO_1901,98.663,374,5,0,1,374,1,374,0.0,756.0,374,1.0,<=>
